,X,idx,beta,pval,cilb,ciub,i2,tau2,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random
7,ABCB1,13963,-1.82718561618186,3.29217164202403e-10,-2.3970480559149,-1.25732317644883,98.333641324008,1.79166713606378,0.91860371578148,0.894078186422836,0.943802006873332,7.79704586578528e-10,0.918722443509431,0.89011336045246,0.94825104948306,1.50448428244091e-07
26,ACADM,7743,-0.973414558399934,7.3386536992617e-10,-1.28320162075232,-0.663627496047544,98.6103065154978,0.536740627362578,0.881497344833453,0.83219831764791,0.93371682262542,1.74225490138042e-05,0.888723105253365,0.795056963605495,0.993424111688045,0.037887382901667
27,ACADSB,18891,-1.29023791748614,1.93647463946371e-09,-1.71149390175626,-0.868981933216015,98.943441701964,1.00596300276916,0.863819290846128,0.825685011847206,0.903714802293141,2.08646020972921e-10,0.871098469432983,0.793281374723027,0.956549047572716,0.00384746059788406
48,ACVR2A,13237,-0.378156737485903,9.06410950485189e-06,-0.545148887222077,-0.211164587749729,97.504797564858,0.15063123266006,0.89559268591177,0.839529443492743,0.955399796011552,0.000827905784415317,0.901325063389344,0.816333243097829,0.99516573257626,0.0397959083691978
69,ADH1A,3390,-4.11028383712549,5.73327431631169e-16,-5.10548493465499,-3.11508273959598,97.5937684677529,5.40992290816419,0.980937321817272,0.971376236738229,0.990592514971468,0.000117465890906156,0.979959926678936,0.964845738257508,0.995310876981129,0.0106911932027523
71,ADH1C,28675,-3.76839880181031,4.56724275750005e-15,-4.71068674940045,-2.82611085422017,98.3696335239636,4.7890171086243,0.983066810798263,0.972607279311862,0.993638825299382,0.00175253519217504,0.982738807455655,0.970573879383335,0.995056207666519,0.00614741006740628
115,ALDH2,5939,-1.39173508175916,1.68064707092193e-09,-1.84439846680001,-0.93907169671831,99.096924973927,1.16384883795679,0.896334358530685,0.862600896745922,0.931387024188614,2.24973540089432e-08,0.887278457086218,0.820614809178085,0.959357607983959,0.00268965077023058
161,AQP7,20967,-2.34336033847357,4.37279405961987e-12,-3.00663575697919,-1.68008491996794,98.1750272087239,2.32904185995695,0.968439610830075,0.952522265991432,0.984622946161285,0.000149043035327069,0.962590706833895,0.938387373830852,0.987418303701513,0.00334123296572026
224,BAZ2B,3470,-0.334453112392431,9.59024087141252e-07,-0.468235578200501,-0.200670646584361,92.931692511887,0.0908759681149075,0.905927893032502,0.850468375304974,0.965003956884354,0.00217530924588932,0.905927893032502,0.850468375304974,0.965003956884354,0.00217530924588932
295,CA4,1332,-3.77155458332379,7.77897831971064e-10,-4.97364640608641,-2.56946276056116,98.8761164729139,8.21979660805302,0.984898575819263,0.97396107862337,0.99595890014607,0.00757046284979505,0.97465391961763,0.954969792429705,0.994743782009142,0.013654452887759
354,CASR,11313,-2.81727807359641,4.39657748208188e-06,-4.0198322379462,-1.61472390924663,97.0450883119149,7.53270130400852,0.980177012388414,0.9697534841494,0.990712579349357,0.000242054751048819,0.980156349268172,0.967154731038147,0.993332750365069,0.00326288833470147
521,CHRNA2,28144,-2.35753214803009,5.24965185613829e-06,-3.37205010142319,-1.34301419463699,94.5124129847771,5.10300492311388,0.988638645783687,0.977971788091893,0.999421848194625,0.0389749567522578,0.988404409117367,0.976955428982242,0.999987560313162,0.0497558887301254
555,CMA1,16504,-3.80683238366642,1.07883723898138e-09,-5.03053308250161,-2.58313168483123,97.3434939186199,8.01248960145281,0.979914177318454,0.971347036934938,0.988556878641118,5.93200661532624e-06,0.981056217028528,0.964500565517572,0.997896046285719,0.027629124142175
607,CRBN,25030,-0.467802928606291,5.61417060006856e-13,-0.59497845527521,-0.340627401937372,95.5019728735502,0.0851418572060316,0.79432977437829,0.727637651562791,0.867134608975655,2.6588181150718e-07,0.792402244557124,0.710400877697182,0.88386900536294,2.98218534464815e-05
649,CTSG,7142,-2.76570515731276,2.17706300688285e-08,-3.73414979746638,-1.79726051715914,97.245615778019,5.06765994829573,0.979669651693664,0.969310586596352,0.990139424577701,0.000152461420657308,0.976034558007793,0.956082125462716,0.996403376921638,0.0213420377027688
677,CYP20A1,30333,-0.350525135563675,4.62327173752583e-07,-0.486802220029399,-0.214248051097951,97.3020682833814,0.10449957495156,0.817177217074886,0.743528593931722,0.898120945927707,2.79279449843338e-05,0.801193885875341,0.709067942830714,0.905289329822772,0.000375848430695915
781,EDN3,25875,-3.39457114033637,1.48697981347886e-08,-4.56941977751442,-2.21972250315833,97.8467946875231,7.4717925472092,0.988502715589983,0.97974532381594,0.997338384757976,0.0108662098549995,0.985752825941037,0.97235830614775,0.999331859158396,0.039810180938553
783,EDNRB,8971,-1.54751016149644,1.22874877346335e-06,-2.1727624458997,-0.922257877093194,99.0708696950763,2.18985200125058,0.936769065893142,0.907637567312185,0.966835567872081,5.06956126172486e-05,0.929510691141104,0.86829768978081,0.995039069105109,0.0354615319547922
840,EPHX2,3967,-1.36511245300081,5.23717206260964e-12,-1.75293288903541,-0.977292016966216,98.6328527595275,0.839212314057629,0.91801508368767,0.889337272148891,0.947617647736446,1.27300814022378e-07,0.901853194102597,0.845026520339887,0.962501370236184,0.00186496827976132
856,ESR1,18471,-1.51519272174335,3.19151671364447e-06,-2.15273323759196,-0.877652205894729,98.7025283132893,2.33522584692783,0.964879649978251,0.943015502157645,0.987250725796147,0.00223434495626251,0.963992754948323,0.930155156979131,0.999061312105059,0.0442751672926441
894,FCER1A,16754,-1.79328937993412,3.04152667916254e-07,-2.47965567295359,-1.10692308691465,97.9049700345909,2.66614558653047,0.965441842659438,0.951591653640389,0.979493617868456,1.83911785051283e-06,0.965710915329482,0.944690087157811,0.987199489720817,0.00188793767132299
896,FCER2,7570,-2.26182426238552,1.17413767531172e-08,-3.03909105771535,-1.48455746705569,93.76458850963,3.07233812444394,0.976980151072578,0.965984035265213,0.98810143930354,5.51553071936024e-05,0.978860744080545,0.962659388195045,0.995334765392413,0.0121036124679206
916,FGFR2,30465,-1.3663946913002,4.35943362344576e-08,-1.85548572233535,-0.877303660265057,98.1985456477932,1.32753434769256,0.956247279319966,0.93399667301545,0.979027961903362,0.000195770556069537,0.95149777696554,0.925032365934664,0.978720370130607,0.000551411325752712
929,FLT3,3037,-1.3395860309119,3.44085831616265e-09,-1.78391130879115,-0.895260753032651,94.4276423917555,0.955090297355438,0.954770135798608,0.938633219893889,0.971184476419816,1.02684989780556e-07,0.95815333530462,0.937267338786663,0.979504753834521,0.000143791188917175
942,FOXO1,4286,-0.958772040459909,2.00074863662988e-08,-1.29362234909643,-0.623921731823387,98.5295027405908,0.634790250438187,0.906347252377318,0.86048974410413,0.954648614373847,0.000205649760888701,0.911200692574153,0.83797905047766,0.990820357232488,0.0295753461243174
1039,GNG7,20786,-1.68736814709145,2.00230974934223e-09,-2.23878371800906,-1.13595257617384,99.2028875163512,1.74065431902045,0.896857545161872,0.868762895485819,0.925860738865901,2.03166211462627e-11,0.869887084840687,0.805857380180777,0.939004294038827,0.000352501124636645
1049,GPER1,28288,-1.63505930288218,1.55429147643921e-08,-2.20170766956101,-1.06841093620336,98.2741635288405,1.80213078703421,0.951215537433212,0.92376324422965,0.97948365482857,0.000815870945469546,0.938582494446576,0.896628332137559,0.982499735181695,0.00659427007530178
1288,IL5RA,20279,-2.1500360264885,3.05295708387075e-11,-2.78429207666906,-1.51577997630793,96.1883849151463,2.09795978877951,0.972937379013459,0.958916142852861,0.987163633167482,0.000211932503505714,0.973428735948223,0.951244934483226,0.996129881610912,0.0220422541231668
1343,ITPKB,26513,-0.713866403894069,8.99003853739077e-06,-1.02898089341889,-0.398751914369243,97.8858766421156,0.528867744865003,0.875532423081574,0.830792240610233,0.922681973177845,6.80417412692721e-07,0.868020680822099,0.800581075991944,0.941141284661644,0.000603521504458102
1350,JAK2,3209,-0.50268914207637,9.11625348915357e-09,-0.674144715222592,-0.331233568930148,95.1641416825905,0.154424959236067,0.904774994765196,0.862061873615221,0.94960444975873,4.99797635206888e-05,0.905797302009547,0.857763449222489,0.956521000132939,0.000372311497235003
1356,KAT2B,13169,-1.13517509204085,1.37086658058247e-15,-1.41370383135387,-0.856646352727829,98.2280595136428,0.437368424818387,0.919532420427615,0.875417123756482,0.965870839479575,0.000824938869664593,0.911731352395897,0.844277649114231,0.984574280526978,0.0184544412630336
1361,KCNA3,12952,-1.33497969059214,8.30165048333498e-06,-1.9220031245257,-0.747956256658581,96.3100430868521,1.77786713603213,0.962519471727901,0.948016459337193,0.977244355127635,8.158993134469e-07,0.962491303825079,0.940246137360923,0.985262765916895,0.00135337699853624
1519,LTC4S,17695,-2.00866515371528,2.15068132904138e-06,-2.83946080814067,-1.17786949928989,95.0078422241775,3.60108977419532,0.985264098422488,0.97579926783058,0.994820733774951,0.00257552780068732,0.984096788625387,0.969884783055128,0.998517046872518,0.0307791947309517
1529,MAOA,12220,-1.42979766373735,5.22200110061452e-10,-1.88089616925631,-0.978699158218382,98.5948485359677,1.12404549733863,0.954508703745127,0.929986992940184,0.979676998110234,0.000454547726232418,0.954833851700282,0.927702979534487,0.982758172028597,0.00167499441039767
1623,MLYCD,16041,-0.620675514639293,5.15380681011977e-06,-0.887544226524824,-0.353806802753762,98.7410482549452,0.407369593799585,0.827271399636017,0.770525102115542,0.888196850143775,1.69428014955684e-07,0.814109877440757,0.7177186534523,0.923446658880313,0.00138074337297938
1824,NR3C2,21055,-1.93967649182341,8.76398787752138e-12,-2.49666346226996,-1.38268952137686,99.2839938387355,1.79918496466432,0.926057604916277,0.902066793491614,0.950686461147562,9.68438047256139e-09,0.908471561030421,0.855971396394578,0.964191771684626,0.00157440763692219
1835,NTF3,8172,-1.96412509879257,1.59577562142716e-10,-2.56601052065387,-1.36223967693127,98.1989477717013,1.97889163730669,0.971423206249451,0.95662270759271,0.986452692529786,0.000214567209220513,0.971423206249451,0.95662270759271,0.986452692529786,0.000214567209220513
1867,P2RY12,1305,-1.93599089682713,4.46126450466741e-07,-2.68764805908029,-1.18433373457396,98.2425115450986,3.19203187232722,0.976629967826926,0.963806689903134,0.989623857200539,0.00045373140878746,0.966584465042536,0.944633875344013,0.98904512366902,0.00373379543628325
