	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0578352249260784	0.943805450237785	0.053525844998474	-1.08051026429807	0.279915018523382	0.849808751231298	1.04819905256083
BRCA	-0.102180524237151	0.902866547661467	0.0511666484615866	-1.99701421354308	0.0458236389778056	0.816714811957769	0.998106059729803
CESC	-0.149311960181686	0.861300381560569	0.0920607494110229	-1.62188512625564	0.104827946830713	0.71910513112517	1.03161320253082
CHOL	-0.0176842968982773	0.982471152592992	0.0817617767363103	-0.216290516231208	0.828761301066734	0.836997299741256	1.15322900799775
COAD	-0.0306166072171061	0.969847334274662	0.0499184639196558	-0.613332318606273	0.539656627975724	0.879453138094803	1.06953265734811
ESCA	-0.0596024048374516	0.942139049054898	0.0792051668701423	-0.75250652441867	0.451746507748482	0.806669142497526	1.10035941750033
GBM	-0.140550406552348	0.868879866590444	0.0950300426364881	-1.47901024405499	0.139137576947602	0.721223742355238	1.04676562657359
HNSC	-0.157269222022757	0.85447398463402	0.0452911140386848	-3.47240789635749	0.000515811969826062	0.781892376116053	0.933793208271378
KICH	-0.276231712249715	0.758637124878916	0.206198111928474	-1.33964229675165	0.18036166574436	0.506428269476469	1.13644976383233
KIRC	-0.165859906575525	0.847164908109559	0.0411248957922484	-4.03307785662009	5.50510302951949e-05	0.781560105854127	0.918276631773513
KIRP	0.0142946226352115	1.01439727931629	0.077792367208838	0.183753537115496	0.854206807378828	0.870945726861914	1.18147642103012
LIHC	0.000943199714579307	1.00094364466731	0.0402081485547395	0.0234579245372423	0.981285000595956	0.92509085623386	1.08301597951003
LUAD	-0.13097982673082	0.877235470919834	0.0659850441625602	-1.98499263572726	0.047145290838214	0.770814033030583	0.998349846349268
LUSC	-0.0251513528959407	0.975162307219197	0.0559009145006826	-0.449927396011268	0.65276279282205	0.873964840829063	1.08807755300429
PAAD	-0.159443729784976	0.852617943041599	0.0665055843537389	-2.39744874561067	0.0165096905601533	0.748419013113832	0.971324009757512
PCPG	-0.387859019565022	0.678507992873555	0.269685120114207	-1.43819213830104	0.150379545247153	0.399943439886757	1.15109550621371
PRAD	-0.350693649568663	0.704199452620286	0.291482339729353	-1.20313858429395	0.228922696400322	0.39772735840614	1.24682614507078
READ	0.123602846716767	1.13156637644436	0.13133893403681	0.94109829368742	0.34665448988918	0.874750362121274	1.46378043353346
SARC	-0.157960490347619	0.853883517942997	0.0557419060407475	-2.83378344170989	0.00460004934661149	0.76551029242131	0.95245886232112
STAD	-0.0222439206250264	0.978001651180597	0.057224783404669	-0.388711311805709	0.697489713572663	0.874238169656804	1.09408083850589
THCA	-0.122559137256171	0.88465358741072	0.260012211781871	-0.471359158157495	0.637384276524151	0.531435359345835	1.47263812231464
THYM	-0.00841925751125143	0.991616085181308	0.375351014750194	-0.0224303576662892	0.982104664523712	0.475164733367266	2.06939276284692
UCEC	-0.0787106058318868	0.92430737490776	0.0743180629623893	-1.05910464689749	0.28955212391064	0.799018377672301	1.06924214408904
