	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.110936222625607	1.11732364461362	0.0400686762308587	2.76865205095469	0.00562887136636112	1.03293375600708	1.20860812182046
BRCA	0.0201254265401117	1.0203293083762	0.0594914065010588	0.338291321785333	0.735143662837286	0.908032064578779	1.14651446588991
CESC	0.160376407635567	1.1739526725876	0.0704320346133663	2.27703783535356	0.0227839663424145	1.02258338571934	1.34772860259812
CHOL	-0.0283979080014422	0.972001522658881	0.127848287843116	-0.222121926546952	0.824218969266638	0.756558099989571	1.2487963053521
COAD	0.0514530350635586	1.05279974045814	0.0566050840858863	0.908982574524393	0.363359324022633	0.94224411637216	1.17632710488684
ESCA	0.0142433668060064	1.01434528687507	0.0777960057550349	0.183086093788106	0.854730466897161	0.870894876221678	1.1814242902306
GBM	0.104256169744203	1.10988473739102	0.0735771595695052	1.41696377454904	0.156493518972632	0.960835161234253	1.28205563242621
HNSC	0.0139632257939691	1.01406116695852	0.0426283748176088	0.327557075626568	0.743246581484303	0.932779114671943	1.10242610941706
KICH	0.384068111998312	1.46824544340745	0.192207146623074	1.9981989158368	0.0456950990444251	1.00737609741814	2.1399601277138
KIRC	0.196249026517374	1.21682989051695	0.0398678092783023	4.92249336168517	8.54484640226276e-07	1.12536739557747	1.31572585830577
KIRP	0.458840899106131	1.58223894712499	0.110196473375778	4.16384376967718	3.12934280354946e-05	1.27488984661487	1.96368344484546
LIHC	0.113666724414734	1.12037866779931	0.0366285331082204	3.10322895210957	0.00191421489372233	1.04276529164585	1.20376883399959
LUAD	0.114122323548139	1.12088922764593	0.0433024139522755	2.63547255526945	0.00840202200208204	1.02968316874113	1.22017402905472
LUSC	-0.0328315629780968	0.967701542628389	0.046142254580246	-0.711529232300503	0.476756342772937	0.88402607504625	1.05929712034384
PAAD	0.136679525551256	1.14646067828725	0.0565492675052873	2.4169990449209	0.0156490581860537	1.02618187578821	1.28083736213846
PCPG	0.0197790006125938	1.01997590106743	0.227732162997864	0.0868520298240844	0.930789130018571	0.652745583781467	1.59380754861854
PRAD	0.291782816855977	1.33881221861522	0.261600109764006	1.11537727227714	0.26468878474735	0.801761596416009	2.23559991489462
READ	-0.0305049588820325	0.969955622159778	0.122651503138765	-0.248712474787364	0.803583198521778	0.762694677995769	1.23353936523021
SARC	0.08050846222536	1.08383801828501	0.0442037626072182	1.82130337955017	0.0685607530109502	0.993889425499177	1.18192710350046
STAD	0.137736433632309	1.14767302239803	0.0509979752556618	2.70082160991318	0.00691684270063098	1.03850506219379	1.26831675096297
THCA	0.253154297508918	1.2880820093476	0.112968151523877	2.24093511395919	0.0250302783225774	1.03224990022065	1.60731937339038
THYM	0.0565658354215627	1.05819627930515	0.20231410825898	0.279594121775993	0.779788917456056	0.711796993061113	1.57317237421811
UCEC	-0.120860511512429	0.886157559750035	0.0770379587265196	-1.56884363903614	0.11668437722849	0.761966920192337	1.03058964883136
