	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.00345801956110674	0.996547952502715	0.0161192024546888	-0.214527956381668	0.830135368357132	0.96555609841722	1.02853456496758
BRCA	-0.0155402847758297	0.984579842374567	0.0210878014796762	-0.736932429433524	0.461163441697456	0.944715347737801	1.02612651348539
CESC	-0.0405747173926921	0.960237415394949	0.0200165195309449	-2.02706156432266	0.0426561169915796	0.923295102307542	0.998657841485271
CHOL	0.0353241671698084	1.03595547712922	0.0611368134153884	0.577788818167568	0.563406705499598	0.918970014780566	1.16783326260138
COAD	-0.0273958238596684	0.972976038162235	0.0338586735608318	-0.809122773532402	0.418444530047467	0.910503437336356	1.03973508722533
ESCA	0.00364288198460584	1.00364952534372	0.0307921030239159	0.118305722144943	0.90582542362667	0.944869429429588	1.06608631663614
GBM	0.00463633962381186	1.00464710407582	0.0230888317212402	0.200804426996916	0.840851501195926	0.960196873488625	1.05115506162903
HNSC	-0.0095886153247951	0.990457208866657	0.0132569360978129	-0.723290453695182	0.469501456533608	0.965053505928854	1.01652962925793
KICH	-0.107424868418208	0.898143998895279	0.112130648229398	-0.958033063346221	0.338046086468225	0.720941775246384	1.11890123509062
KIRC	0.00385290504639126	1.00386033702688	0.0292002175710528	0.131947819807027	0.895025564523274	0.948021147265712	1.06298849889819
KIRP	0.0651426154003455	1.06731122854876	0.0500921894513453	1.30045454418834	0.193445226000855	0.967503465830327	1.17741517091995
LIHC	-0.0874922678961614	0.91622595597772	0.025419672401569	-3.4419117018503	0.000577618760097187	0.871696548652389	0.963030086221034
LUAD	-0.0414925138260035	0.959356517224403	0.0222110455730497	-1.8681026829439	0.0617477596668533	0.918488988278625	1.00204241845711
LUSC	-0.01359875325538	0.986493292083328	0.0165319871062346	-0.822572215184684	0.410751304424829	0.955041147944747	1.01898124224246
PAAD	0.0375241725415845	1.03823709360782	0.0485482360759018	0.772925559703509	0.439566437026807	0.944000463651855	1.14188107320756
PCPG	-0.0764043454593888	0.926441528389385	0.0825959855640211	-0.925037033430236	0.35494664417897	0.787974537524527	1.08924066026403
PRAD	-0.0646916251390988	0.937356475985899	0.223257331957889	-0.289762600725252	0.77199786121579	0.605156634136333	1.45191693110442
READ	-0.0552437097731658	0.946254508378472	0.0621886525159094	-0.88832459843109	0.374366171618107	0.837669850773749	1.06891467300573
SARC	-0.0436146632491305	0.95732277805725	0.0210010102897518	-2.07678881384168	0.0378210551068148	0.918718157962219	0.997549567780438
STAD	-0.0059969912714552	0.994020954788657	0.0257861414998143	-0.23256644548772	0.816098085511957	0.945031612269049	1.04554984799561
THCA	0.0284405469024544	1.02884884076568	0.0753120954824134	0.377635846145002	0.705701131796824	0.887658264047553	1.19249713546087
THYM	-0.117111529085502	0.889485984072794	0.0602727100989319	-1.94302743137441	0.0520128440213402	0.790378076519594	1.00102133316489
UCEC	0.0205376303351263	1.02074997868427	0.0281378023072794	0.729894613333504	0.46545460518752	0.965980676308381	1.07862459833648
