	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00659882511600599	1.00662064533199	0.0433070800319033	0.152372894019749	0.878892834860769	0.92470409307934	1.09579392066306
BRCA	-0.136063266815682	0.872787412261592	0.0665944890105458	-2.04316106088202	0.041036496997	0.765990074539906	0.994474853293418
CESC	-0.169495934977007	0.844090185719401	0.0965382562624576	-1.75573851796328	0.0791330666667092	0.69857869737546	1.01991120585928
CHOL	-0.0456127614477822	0.955411862872741	0.227917657095169	-0.200128248197708	0.841380281366942	0.611204816479584	1.49346307997959
COAD	-0.36207712889741	0.696228666421446	0.159543100399314	-2.26946278460918	0.0232401978875731	0.509270555890481	0.951820894297348
ESCA	0.0702686489124738	1.07279634811685	0.124045022679837	0.566476972589532	0.571069582447525	0.841259480959213	1.36805828710613
GBM	0.0295179959715541	1.02995797039945	0.130375692483437	0.226407203745469	0.820884725611806	0.797707200319665	1.32982806268297
HNSC	-0.139364603667719	0.869910797962539	0.0618980970931877	-2.25151677050597	0.0243528259196565	0.77052541115462	0.982115301399148
KICH	-0.698450235492257	0.497355490720325	0.228238846125395	-3.06017247873978	0.0022120955871219	0.317972571276027	0.777936547032932
KIRC	-0.239115130772923	0.787324231907098	0.10262978048249	-2.32988056340741	0.0198124645755139	0.643865256208099	0.962747158930028
KIRP	-0.346602740084104	0.707086169462791	0.0862394678282726	-4.01907327135053	5.8427500292677e-05	0.597124890247595	0.837296952800365
LIHC	-0.343504724251247	0.709280130318967	0.0769216148566549	-4.46564629319569	7.98274020230476e-06	0.610017081954386	0.824695435828647
LUAD	-0.195203048856991	0.822667599380318	0.0698428257515103	-2.79489048097069	0.00519172999578562	0.717420978499946	0.943354040866294
LUSC	0.151450957352708	1.16352123824871	0.0703391371308961	2.15315347231042	0.0313066189606731	1.01368152899958	1.33550985504478
PAAD	0.14437387297838	1.15531596921174	0.14540647902559	0.992898486682776	0.320759427349813	0.868821495048536	1.53628218952053
PCPG	-0.140504233949448	0.868919985961693	0.547292816532242	-0.25672588732246	0.797390385961665	0.297250980944785	2.54001497187293
PRAD	-0.353658489089071	0.702114706249248	0.297547524131808	-1.18857816115588	0.234605705858495	0.391863811156038	1.25800098579446
READ	0.430497091160991	1.53802187063475	0.335177315417563	1.28438611850769	0.199006887592468	0.797368478238946	2.96664759030261
SARC	-0.18743084034254	0.829086455532931	0.0827375767761106	-2.26536535931831	0.0234902682517522	0.704974595908233	0.975048398534969
STAD	-0.0844479057531839	0.919019529760043	0.0912573060264077	-0.925382409697113	0.354767025422778	0.768504439723699	1.0990136847928
THCA	0.330752633508265	1.392015411747	0.282636599347892	1.17023992742407	0.241904429099683	0.799950905016693	2.42228228556193
THYM	0.931665179760818	2.53873310682873	0.505454181426933	1.84322380543111	0.0652963405575378	0.942700347770472	6.83691886075078
UCEC	-0.174535157377452	0.839847326880688	0.0901967914062845	-1.9350484053393	0.0529843559781037	0.703760190003175	1.00224983238318
