	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0378390874599598	0.962867865940205	0.0215587431351085	-1.75516203439238	0.0792315958401526	0.923030087449902	1.00442503431457
BRCA	-0.00417905868138559	0.995829661432827	0.0283473884236972	-0.147423057776006	0.882798106886703	0.942010442465279	1.05272369592227
CESC	-0.0792426971532428	0.923815689797597	0.0397098692619136	-1.99554162796617	0.0459838386805679	0.854642000378808	0.998588213939799
CHOL	-0.072939341394093	0.929657220026444	0.192086709213956	-0.379720917145025	0.704152591503044	0.637996569020728	1.35465077511916
COAD	0.147755200636051	1.15922908308353	0.0816773269212137	1.80901121774683	0.070449260620615	0.987746277382327	1.36048304897486
ESCA	0.027735154137022	1.02812335414327	0.0515505172062167	0.538018930558418	0.590563979382806	0.92932013020097	1.13743111440641
GBM	-0.031565234627549	0.96892774675135	0.0275466684175596	-1.14588211354909	0.251843933019893	0.918001997332974	1.02267857929739
HNSC	-0.00287434496633211	0.997129782008098	0.0265970664417689	-0.108069999848485	0.913940165401848	0.946481705321982	1.05048813577361
KICH	-0.303577632067592	0.738172581043648	0.16421234580563	-1.8486894549751	0.0645026672281878	0.535032430769035	1.01844061792932
KIRC	-0.117502308296083	0.889138459349256	0.0394738339435036	-2.97671385212435	0.00291355805349907	0.822941961739342	0.960659726504957
KIRP	-0.145535110867483	0.864559534105811	0.0853661728572645	-1.70483349547394	0.0882254825510444	0.731359801971845	1.02201841829151
LIHC	-0.0934389227739337	0.910793644476732	0.0610804435242542	-1.5297682430356	0.126074104876067	0.808031373810719	1.02662481891889
LUAD	-0.0624948098125713	0.939417938555998	0.0296730742972093	-2.10611172899091	0.0351946482418237	0.886341496200937	0.995672736821444
LUSC	0.0237906380820034	1.02407589295207	0.0240495880257959	0.989232666126555	0.32254931946848	0.976924713959732	1.07350281914233
PAAD	-0.201265841502955	0.817695025382842	0.0695233194740418	-2.89494004350731	0.00379230959131371	0.713531250776759	0.937064990227088
PCPG	-0.156668603528742	0.85498735166528	0.144954842312478	-1.08080972687351	0.279781760791343	0.643537567403944	1.13591406086284
PRAD	-0.234598378590872	0.790888423575358	0.253687389124589	-0.92475380585693	0.355093984290569	0.481034385162523	1.30033219628194
READ	0.298118543494229	1.34732149461109	0.205115352464351	1.45341896602324	0.146107463712915	0.901315280235828	2.01402910795665
SARC	-0.0576954434515283	0.943937385976178	0.0315563890844597	-1.82832843444503	0.067500274829873	0.887324228591124	1.00416258221449
STAD	0.0119661257631538	1.01203800627031	0.0457084394960567	0.261792480668391	0.793481436510657	0.925315267842917	1.10688860513805
THCA	-0.0406389314601858	0.960175756624449	0.137689922196863	-0.29514819103523	0.767880677404576	0.733075764666214	1.25762919475194
THYM	-0.212051392588459	0.80892312384502	0.247403415825893	-0.857107780345633	0.391385321699329	0.498100618463013	1.31370368964875
UCEC	-0.0360446926306995	0.964597182134115	0.0337644929836104	-1.06753247111384	0.285731458901393	0.902829207139344	1.03059107572432
