	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0795099320132571	1.08275631342609	0.0791671153634592	1.00433029103339	0.315219437826077	0.927136233176079	1.26449726837654
BRCA	0.0667276244432475	1.06900426788448	0.0648355336429567	1.02918292939039	0.303393722412386	0.941437151765836	1.2138570510116
CESC	0.292206177619127	1.3393791391753	0.206083159860001	1.41790419856544	0.156218736442242	0.894304110304641	2.00595799324557
CHOL	0.478814853221956	1.61416025132097	0.263621249568826	1.81629839781542	0.0693246108996839	0.962834922911377	2.70608518131659
COAD	-0.351527941970039	0.703612189376607	0.138011539190138	-2.5470909464008	0.0108625119552396	0.536855886521844	0.922165753358464
ESCA	0.0643690536500797	1.06648591666273	0.159543451891296	0.403457822223485	0.686611456980616	0.780102181444898	1.45800414034644
GBM	-0.0299800882594421	0.970464857000579	0.0964367523571205	-0.310878244306913	0.755893184085554	0.803327622858742	1.17237601680076
HNSC	0.172661647594289	1.18846391742173	0.0943238006000171	1.83052046774987	0.0671721490376179	0.987864630320983	1.42979760552259
KICH	0.721555150363413	2.05763064880217	0.203435606718827	3.54684787978483	0.000389869636284086	1.38102874387286	3.06571742671839
KIRC	0.595330358461406	1.81362999401863	0.0829561739535753	7.17644426073182	7.15478018039663e-13	1.54147422151542	2.13383636864868
KIRP	0.824142864267668	2.27992572177696	0.145924826170511	5.64772209017174	1.62587725477644e-08	1.71281028065016	3.03481439570006
LIHC	0.216009166763113	1.24111375594432	0.0570141018943322	3.7886971746649	0.000151439373974088	1.1098929624389	1.38784856497279
LUAD	0.24885534897501	1.28255649653928	0.0581166375658551	4.28199839835914	1.85222315709019e-05	1.14447822269882	1.43729354931377
LUSC	-0.108274937679792	0.897380838704808	0.087436519540724	-1.23832625370412	0.215595112911716	0.756050302805884	1.06513067541394
PAAD	0.531690708848737	1.70180713807113	0.130798509328938	4.06496000280568	4.80406998571321e-05	1.3169656512064	2.19910635675033
PCPG	0.721762859350085	2.05805808156846	0.525805124886338	1.37268129424586	0.169851446874701	0.73433037583689	5.76798019867021
PRAD	0.752964125789386	2.12328438017888	0.290203823196421	2.59460443179535	0.00946998394387589	1.20222629543791	3.74998997794294
READ	-0.0792797105116579	0.923781496909162	0.311731064968089	-0.254320853520882	0.799247690537362	0.501444988903053	1.70182626791933
SARC	0.247221166822828	1.28046227723743	0.08970648596549	2.75588954535499	0.00585327594191278	1.07401040610531	1.52659940174482
STAD	-0.041502448820225	0.959346986070294	0.0812207169013216	-0.510983532325233	0.60936258791892	0.818164282047139	1.12489222504232
THCA	0.0743599592493682	1.0771944818353	0.285573420116644	0.260388236478715	0.794564316011795	0.61547948833432	1.8852747714415
THYM	-0.462489240313104	0.629714183002602	0.189151438079337	-2.44507387841862	0.0144822472683297	0.43464779323735	0.912324779843283
UCEC	0.20291760421473	1.2249715315979	0.115556596780734	1.75600190614614	0.0790880830892852	0.97670641975024	1.53634216268285
