	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.266675887253207	1.30561721056593	0.114103723597768	2.33713571165546	0.0194321286480741	1.04397620650809	1.63283060466259
BRCA	0.225057879290891	1.25239520184033	0.143777400923532	1.56532165587406	0.117507507845138	0.944839083205774	1.66006441675856
CESC	0.187634077425341	1.20639198850973	0.136579318013815	1.37381032614588	0.169500574523456	0.92306422232623	1.57668512627727
CHOL	0.198682784845687	1.21979496707346	0.362644241298863	0.547872438657995	0.583779494772485	0.599243730899041	2.48296258262971
COAD	0.30965772080297	1.36295852193586	0.165766254918901	1.86803834685453	0.061756726079451	0.984877344720432	1.88617998218336
ESCA	-0.101684761436652	0.90331426628156	0.14474881424968	-0.702491153131342	0.482372916996697	0.680187200278813	1.19963542879566
GBM	0.443190608711639	1.55766921136875	0.168741923180248	2.62644042665217	0.008628309452117	1.11903031106178	2.16824633619078
HNSC	0.160123951387223	1.17365633830744	0.0838702731287275	1.90918600135543	0.0562381014866277	0.995750292353998	1.3833480251287
KICH	0.422082377036137	1.5251341555401	0.617007296334416	0.684080041749408	0.493924623948994	0.455103823757976	5.1109968120857
KIRC	0.531246600196251	1.70105151859724	0.132873769605751	3.9981299678071	6.38448937385275e-05	1.31103748529991	2.20708889056673
KIRP	0.800538337711462	2.22673934364977	0.316484307851539	2.52947245045397	0.0114234141712144	1.19750531972286	4.14058127583545
LIHC	0.11215976422681	1.11869157326296	0.120297112026325	0.932356249768207	0.351152446857755	0.883717141886538	1.41614412210898
LUAD	0.342272197012583	1.40814353781759	0.125140117612389	2.73511167755765	0.00623591153901775	1.10186265829912	1.7995602339027
LUSC	0.101407305604459	1.10672732621662	0.115475184675156	0.878174006733384	0.379849295759415	0.882567595653204	1.38782046908039
PAAD	0.353963003746931	1.42470247685148	0.159586170341528	2.21800550128762	0.0265544573224642	1.04203950725748	1.94788885969292
PCPG	0.682395870626603	1.97861255765929	0.590640408807877	1.15534910996679	0.247947492681127	0.621737029092154	6.29672589879917
PRAD	-0.599259281775411	0.549218301468381	0.573598369059151	-1.04473672538217	0.296144666159187	0.178442041722127	1.69041297530956
READ	0.0507167470135562	1.05202486189211	0.321001638283222	0.157995290257081	0.874460509934297	0.560775347920696	1.97361798114498
SARC	0.162212729233392	1.17611040777663	0.103118023776694	1.57307833579773	0.115700680611179	0.96089043925884	1.43953528390545
STAD	0.122050556887823	1.12981122007556	0.119324737501182	1.02284370737974	0.306381748865996	0.89420374143279	1.42749726249559
THCA	0.0618649178256575	1.06381863208782	0.423175353442516	0.146192157275675	0.883769696632721	0.464151842247271	2.43823244673084
THYM	0.217366360848671	1.24279933176143	0.316561733173536	0.686647620574887	0.49230481197873	0.668256474644184	2.31131345169391
UCEC	-0.190272860756296	0.82673352003064	0.176184460759914	-1.07996391926743	0.280158247493269	0.58532498359758	1.16770739725021
