	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.063962565520622	1.06605249089456	0.0638302115726047	1.00207353140083	0.316308080432413	0.940689322849354	1.20812247544186
BRCA	0.100889845610138	1.10615478724646	0.0756083163797254	1.3343749793798	0.182080995785616	0.953801470467134	1.2828439158822
CESC	-0.0663303018814895	0.935821709565827	0.140005997564036	-0.473767574500881	0.635665659683979	0.711245930818805	1.23130725132797
CHOL	0.401065473468276	1.49341504436159	0.315140727628362	1.2726551610341	0.203140435345784	0.805252808737648	2.76967490274494
COAD	0.0777320276391109	1.08083298649263	0.127050628410509	0.611819308661375	0.540657313242202	0.84258340193653	1.3864502220263
ESCA	0.160545310209627	1.17415097296208	0.157750836972622	1.0177144748683	0.308813666316446	0.861878776440117	1.59956428327665
GBM	0.190077881459787	1.20934377944862	0.180936659472378	1.05052166882082	0.293478333747894	0.848274108225735	1.72410352114848
HNSC	0.00742207542618995	1.0074496872982	0.0829539645990713	0.0894722206715728	0.928706629714588	0.856274131043012	1.18531535128936
KICH	1.07201537647526	2.9212610119774	0.435715379054449	2.46035698533674	0.0138798878300009	1.24362304016164	6.86201977971565
KIRC	0.558603144776231	1.74822877143402	0.0813610292029283	6.86573351208451	6.61504604489318e-12	1.49053998119756	2.05046753245367
KIRP	0.660723592183256	1.93619284164837	0.186716174355137	3.53865215193703	0.000402175433152423	1.34281292987317	2.79178330551559
LIHC	0.298141430441185	1.34735233103954	0.0870449885031481	3.42514182112164	0.000614478570161589	1.13602620514282	1.59798981373803
LUAD	-0.111113552383886	0.894837132270175	0.0813001513701097	-1.3667078167918	0.171716906756449	0.763029243825429	1.0494138983128
LUSC	0.136246332642211	1.14596414720556	0.0901676610677745	1.51103323551669	0.130779983314779	0.960329297007879	1.36748283195382
PAAD	-0.0774690031315814	0.925455710180926	0.143185875848473	-0.541038022587948	0.588481375404624	0.698997465331976	1.22528094018155
PCPG	-0.450097877702071	0.63756574509767	0.727767803398939	-0.618463575332615	0.536269801192182	0.153125633358669	2.65461810936525
PRAD	0.942543208833831	2.56650027157578	0.482443984550949	1.95368423903375	0.0507385713617406	0.996974959240012	6.60690981548796
READ	-0.160723724068277	0.851527295109133	0.237022116446668	-0.678095894500383	0.497710893642814	0.535112359787119	1.35504015381805
SARC	0.21033751346667	1.23409451319085	0.11828576293294	1.77821496223443	0.0753685564785686	0.97873112000787	1.55608546244602
STAD	-0.0708179099053581	0.931631517554771	0.0872615770050228	-0.811558905258861	0.417044779769622	0.785175940671022	1.10540483927673
THCA	0.039455225573903	1.04024392151764	0.325229576657439	0.121314998406374	0.903441540749299	0.549919689019628	1.96775536112106
THYM	-0.491464495055012	0.611729862502906	0.274713233274391	-1.78900917584893	0.0736133378135967	0.35704532718785	1.04808380388337
UCEC	0.346394307922011	1.41396004155756	0.0988042896546063	3.50586304636078	0.000455129338673185	1.16502373322943	1.7160877861084
