	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0850829947946399	1.08880742829749	0.0689582684990482	1.23383310872741	0.217265099339065	0.951160246098132	1.24637422640294
BRCA	0.0368248044195298	1.0375112375313	0.0754594300508791	0.488007985147787	0.625544185065421	0.89487345588707	1.20288467707056
CESC	0.0498977089379782	1.05116356623888	0.175917130339174	0.283643263403478	0.776683778740752	0.744610861375559	1.48392254304057
CHOL	0.242691066439308	1.27467477346826	0.244140960057284	0.994061243891087	0.320193052072448	0.7899256732634	2.05689703868451
COAD	-0.162633336678264	0.849902759459198	0.130382425175337	-1.24735627872818	0.212266890237742	0.658244922520532	1.09736463711777
ESCA	0.312067492415326	1.36624690122106	0.156758065909072	1.99075875684982	0.0465074155898452	1.00483899927105	1.85764146937996
GBM	0.0382993816315041	1.03904225648475	0.10019791822952	0.382237299020254	0.70228535788401	0.853777268077432	1.26450873210997
HNSC	0.158159197758025	1.1713526565819	0.0820538876745052	1.92750401279483	0.0539168484518402	0.997340077005363	1.37572637229347
KICH	0.664272401542972	1.94307622761516	0.164004916186012	4.05032005741562	5.11476279761932e-05	1.40892735328946	2.67973023414464
KIRC	0.462206654634251	1.58757334871809	0.0705985605194634	6.54696995566679	5.87161699940818e-11	1.382420597344	1.82317099615147
KIRP	0.844335934115819	2.32643239711075	0.129133063025307	6.53849536543826	6.21408106720376e-11	1.80622635362256	2.99646148306473
LIHC	0.180422422072268	1.19772320099231	0.0613060819999888	2.94297753479502	0.00325072006662338	1.06211766177979	1.35064213487555
LUAD	0.225098805322131	1.25244645845435	0.054194766442024	4.15351555325799	3.27405948060631e-05	1.12623365260529	1.39280346282157
LUSC	-0.1587780898013	0.853185668564729	0.0753680371362658	-2.10670326353634	0.035143309148651	0.736020926307928	0.989001479476553
PAAD	0.446005445311883	1.56205997241431	0.122690426563005	3.63520983507909	0.000277754464567249	1.22818396606098	1.98669859308184
PCPG	1.09752124867142	2.99672866491315	0.513358299515227	2.13792442765186	0.0325228773009496	1.09566060155803	8.1963179823588
PRAD	0.451584132972605	1.57079856939595	0.294084272341402	1.5355602983364	0.124646257680032	0.882664196401356	2.79540980100477
READ	0.348449911243851	1.41686957191154	0.321928999667726	1.0823812443225	0.279083158769031	0.753882066500852	2.66290905834477
SARC	0.170578181975908	1.18599037137993	0.0797141349455628	2.13987371364435	0.03236497396896	1.01444467893653	1.38654496416744
STAD	-0.0489606684124909	0.952218581230441	0.0786977905173535	-0.622135235190557	0.533852947751821	0.816110510633913	1.11102628213454
THCA	0.0151844622285261	1.01530033190516	0.26831931765717	0.0565910138752185	0.954870992963228	0.600068336109285	1.71786228656964
THYM	-0.393659143572575	0.674583953333599	0.184388190730114	-2.13494769927413	0.0327652824639044	0.469985537241496	0.968250029067084
UCEC	0.27469948511476	1.31613509724441	0.114263970729054	2.40407788528665	0.0162133185566195	1.05205586630196	1.64650153065291
