	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.047996649995074	1.04916714060349	0.0761820111079272	0.630026029728687	0.528677554005722	0.903646217016533	1.21812238926462
BRCA	0.109802617418196	1.11605775835491	0.0650661571613473	1.68755344112168	0.091496983117717	0.982431451409522	1.26785936891283
CESC	0.149043808509739	1.16072383767683	0.164417535682495	0.906495818046777	0.364673477374861	0.840962138321146	1.60206954149073
CHOL	0.449834087776177	1.56805200491199	0.254485609967555	1.76762091905128	0.0771242984390729	0.952230127968242	2.58213536611658
COAD	-0.162446226574746	0.850061799731058	0.0956283023578606	-1.6987254041888	0.0893709345056566	0.70477670622431	1.02529646195773
ESCA	0.098410975274427	1.10341616870014	0.152372354683453	0.645858466116583	0.518371019941729	0.818539722790346	1.48743818711502
GBM	0.0900923277576653	1.09427531102706	0.0896383550656087	1.00506449155302	0.314865796780784	0.917965363189059	1.30444840768655
HNSC	0.136757259040759	1.14654980014019	0.0895531746709569	1.52710676693756	0.126734464525718	0.961977961121909	1.36653488679551
KICH	1.01440962894673	2.75773482987787	0.222168030941193	4.56595678797386	4.9722119398688e-06	1.78419670688416	4.26247922248592
KIRC	0.381284491884194	1.46416408896426	0.0697709389577226	5.46480379338498	4.63419096499348e-08	1.27702858891375	1.67872238571891
KIRP	0.66701177294852	1.94840633230692	0.117816736269773	5.66143481874443	1.5011252500178e-08	1.5466560496309	2.4545129065248
LIHC	0.300518616120362	1.35055904767603	0.0688093894591656	4.36740710072282	1.25730246069156e-05	1.18016550956176	1.54555418412195
LUAD	0.209445874443083	1.23299463678332	0.0576903860102884	3.63051608643649	0.00028285507397816	1.10117170097984	1.38059829632715
LUSC	-0.0668050300249198	0.935377554097955	0.0865441258920656	-0.771918710095199	0.440162575029483	0.789442404475495	1.10829005859088
PAAD	0.60082917356965	1.8236302796933	0.134214698840003	4.47662721566658	7.58314896191723e-06	1.40182253070025	2.37235978462482
PCPG	2.05506513039314	7.8073463516143	0.607180048005707	3.38460583008786	0.00071280534664581	2.37503958370449	25.6646910107454
PRAD	0.661318236160001	1.93734452944764	0.326218652305101	2.02722386193139	0.0426395238972939	1.02218390988575	3.67184788322506
READ	-0.0991298197348228	0.90562513237736	0.261445514501228	-0.379160529580847	0.704568659885694	0.542507368008765	1.51178938528308
SARC	0.183550077461977	1.20147513073039	0.0883915463977911	2.07655692135921	0.037842472372016	1.01035911795193	1.42874198303845
STAD	-0.11532297779606	0.891078298920462	0.0836445841422477	-1.37872617789502	0.167979195111299	0.756340694499578	1.04981860764789
THCA	0.106466306747826	1.11234044744709	0.261787565057718	0.4066897017219	0.684235905142721	0.66589192767606	1.85811123337227
THYM	-0.529155562599616	0.589102219647491	0.223744630783427	-2.36499781356456	0.0180301773757594	0.379960879338954	0.913360938098087
UCEC	0.188284245676692	1.20717660131687	0.103100000745575	1.82622933380313	0.0678157245434406	0.986306577095921	1.47750748155584
