	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0113344038124718	1.01139888154264	0.0784120183283505	0.144549318511468	0.885066714797944	0.867317357644199	1.17941568742977
BRCA	-0.000861371446666902	0.999138999427223	0.0445020979584005	-0.0193557491934895	0.984557310816213	0.915684065298341	1.09019996962728
CESC	0.0968921654407192	1.10174156139938	0.11457080620582	0.845696810989163	0.397721902627552	0.88015038998377	1.37912166139826
CHOL	0.132007251038815	1.14111659351795	0.166590511442635	0.792405581180243	0.428124226162989	0.823242760511948	1.58172915992877
COAD	-0.162136030917743	0.850325526110793	0.113312247706856	-1.43087825190085	0.152465111036079	0.680978901177723	1.06178546663503
ESCA	0.226891106387957	1.25469323242296	0.11990381007388	1.89227603566689	0.058454212154346	0.991916803190395	1.58708381834501
GBM	0.0591696449109393	1.0609552111265	0.0825339082211767	0.716913159526807	0.473427681600184	0.902493453351197	1.24724002798771
HNSC	0.154120351894554	1.16663128461505	0.0665751644149728	2.31498267032281	0.0206138804842534	1.02391695774465	1.32923724326282
KICH	0.810568291159715	2.24918581596831	0.247908899543675	3.26962159346326	0.00107691441659006	1.38358198360626	3.65633326734087
KIRC	0.285618630921601	1.33058491453569	0.0587031733862541	4.86547173595357	1.14184128745126e-06	1.18597180286593	1.49283162593883
KIRP	0.588730876003213	1.80170038261571	0.10387026906697	5.66794407381027	1.44521118075839e-08	1.4698331479719	2.20849847698473
LIHC	0.143763112637902	1.15461056347588	0.0455612290417868	3.15538267209712	0.00160287719949843	1.05597524695374	1.26245909374852
LUAD	0.104929132849542	1.11063190024878	0.0393488832254702	2.6666356005149	0.00766146922337181	1.02819695473982	1.19967600775704
LUSC	0.022624807723641	1.02288268985814	0.0572367278524136	0.395284786055199	0.692632726089837	0.914336039080661	1.14431560442859
PAAD	0.0494527843147434	1.05069598171286	0.0880783917796414	0.561463297813914	0.574481743774646	0.884106550481026	1.2486753382688
PCPG	-0.343281078454034	0.709438775578672	0.326915516357677	-1.05006052413386	0.293690286801082	0.373803987517173	1.34643661678821
PRAD	0.0408379703576783	1.04168330829691	0.257465183270205	0.158615506139405	0.87397181133069	0.628899057473151	1.72540267295714
READ	0.124702753069991	1.13281167822303	0.237774474319345	0.524458116990759	0.599959943437739	0.710826676584877	1.80530970571312
SARC	0.0388226023654075	1.03958604718562	0.0545378347087043	0.711847152949242	0.476559430084835	0.93419546115892	1.15686619603386
STAD	-0.00899773453733678	0.991042623940403	0.0849669582001794	-0.105896865416065	0.915664181120357	0.839012299854759	1.17062107747014
THCA	0.21563450448099	1.24064884452997	0.284357488022343	0.758321878494181	0.448258312754844	0.710564232577833	2.16617933307662
THYM	-0.406049268501152	0.666277340130318	0.188889852079818	-2.14966163629357	0.0315819891167359	0.460120634198388	0.964802403927239
UCEC	0.118925739962485	1.1262862771216	0.0663831888536614	1.79150387343777	0.0732124735797202	0.988879377038387	1.28278615924983
