	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.336294622771038	0.714412592588892	0.142587246263519	-2.35851825169219	0.0183480574949945	0.540229899558456	0.944755839813261
BRCA	-0.0264138014898654	0.97393199170405	0.183531732791921	-0.143919534175662	0.88556401023138	0.679682577369399	1.39556839625903
CESC	-0.326421357194795	0.721501113689079	0.231597792577053	-1.40943207429835	0.158707445460873	0.458248030774537	1.1359871119898
CHOL	-0.356913130613512	0.69983328918259	0.659049385916776	-0.541557489075004	0.588123383881523	0.192313929821107	2.54670388725201
COAD	-0.272599690943129	0.761397520954627	0.200272251078239	-1.36114558794585	0.173467685405252	0.514208686963606	1.12741421841612
ESCA	0.201968712940176	1.22380971810451	0.263830081957002	0.765525718075971	0.443958558107727	0.729694923112956	2.05251561808549
GBM	-0.2902441160387	0.748080926734231	0.167111540698538	-1.73682867637663	0.0824174157598613	0.539141770717246	1.03799242303012
HNSC	-0.281841951153986	0.75439290603967	0.139488106743547	-2.02054467390658	0.0433269211332743	0.573938164026201	0.991585317642335
KICH	0.954310079884021	2.59687832613766	0.762370752904473	1.25176638302073	0.210655003014649	0.582801204057685	11.5713162461072
KIRC	-0.462283559941018	0.629843716170828	0.177180778470634	-2.6091067210072	0.00907789262099596	0.445057627813351	0.891352224989274
KIRP	-0.639549907318027	0.527529807922736	0.316385561392178	-2.02142570762029	0.0432357157366152	0.283752127370068	0.980742244388736
LIHC	-0.505010928871288	0.603498979828327	0.194544846085877	-2.5958586877617	0.00943548621752059	0.412173121293073	0.883636025345916
LUAD	-0.45650151533425	0.633496049434538	0.152644886478534	-2.99061125377723	0.00278419687910639	0.469691118382384	0.85442800372999
LUSC	-0.0161707490845462	0.983959295561731	0.127507029895449	-0.126822412049011	0.899080956716797	0.766377864288987	1.26331401314751
PAAD	-0.254871056012544	0.775016425226645	0.333119249841915	-0.765104556802093	0.444209286649793	0.403421729807854	1.48888970273657
PCPG	0.700015025751795	2.01378296584616	1.00959974575189	0.693358956058834	0.488084313030341	0.278381135085678	14.5675166971499
PRAD	0.774304639624392	2.1690833080739	1.09284147170167	0.708524209297	0.478619783648293	0.254711108033731	18.4716027254758
READ	-0.54226131149613	0.581431965879344	0.42007179043171	-1.29087771149509	0.196746085221584	0.255230839171602	1.32453872754391
SARC	-0.102910434524696	0.902207776531208	0.202668097460136	-0.507778164468823	0.611608924640308	0.606450235221036	1.34220225297911
STAD	0.0302001918986132	1.03066084325314	0.176776709631311	0.170838070024039	0.864351093537664	0.728858408920593	1.45743228151602
THCA	-1.32481019873449	0.265853413614954	0.862593297407639	-1.53584569079768	0.124576230594853	0.0490231817916061	1.44172685141431
THYM	-1.81158214718591	0.163395416591395	0.849488180146611	-2.13255721447855	0.032961066302708	0.0309139300629125	0.863625624718136
UCEC	0.0542506791477047	1.05574922330168	0.207614560842893	0.261304789642175	0.793857473252461	0.70281162433696	1.58592485369551
