	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0392729855951589	1.04005436476043	0.129034720167031	0.30435983078292	0.760853767363303	0.807646821043315	1.3393392426901
BRCA	0.119403536851879	1.12682454178173	0.132079072935011	0.90403070068966	0.365979122455113	0.86982199717781	1.45976251702225
CESC	-0.105553488138099	0.899826341523947	0.214682982964006	-0.491671424911195	0.622951641964699	0.590772425339313	1.37055727412349
CHOL	0.645176925322123	1.90632427647394	0.533690605088926	1.20889691362399	0.226702452054251	0.669758928508723	5.42594072641254
COAD	-0.00103756626505762	0.998962971820704	0.19986882294972	-0.00519123618053543	0.995858011403774	0.675181820364201	1.47801227605708
ESCA	0.638848018926219	1.89429742711447	0.255197827223646	2.50334427168283	0.0123025808057342	1.14874434121083	3.12372615354101
GBM	-0.126300733117902	0.881349755864561	0.236650194221789	-0.533702216189744	0.593547575628874	0.554257116481946	1.40147481929143
HNSC	0.286458955635779	1.33170350784866	0.121548678934032	2.35674264951286	0.0184360184898292	1.04940981223619	1.68993486828317
KICH	1.47158229694646	4.35612236992956	0.912740923746722	1.6122672476498	0.1069037972198	0.728070757738411	26.0631290298553
KIRC	0.912249790442631	2.4899180304646	0.196505589004933	4.64236053061948	3.4445114110485e-06	1.69402255915206	3.65974571291187
KIRP	1.15606479755028	3.17740490987	0.256389154743195	4.50902378732915	6.51266071849186e-06	1.92235555998307	5.25183903094125
LIHC	0.521633352454732	1.68477723860205	0.152180598165218	3.42772573339743	0.000608660042005525	1.25027666760213	2.27027698529749
LUAD	0.235161621027381	1.26511322110909	0.130742063081083	1.79866842763174	0.0720711460371761	0.979132685592277	1.6346216256246
LUSC	-0.0994767496988304	0.905310998377179	0.111866496839874	-0.889245238824466	0.373871294823504	0.727071065445443	1.12724607364283
PAAD	0.363001948842746	1.43763866097016	0.266393550718349	1.36265291657356	0.172991923188885	0.852894162241969	2.42328416703326
PCPG	0.896538172112674	2.45110310977475	1.62051408761457	0.553243059696197	0.580096985292655	0.102323995229918	58.7145414059326
PRAD	2.56313132738057	12.9763870799507	0.878313972082952	2.91824041157174	0.00352012834645268	2.32023291487023	72.5731544318383
READ	-0.428783975062642	0.651300611158804	0.487733560140538	-0.879135680019826	0.379327713892544	0.250392851874786	1.69410781066529
SARC	0.395070295838446	1.48448854061982	0.151802518058651	2.60252794809243	0.00925392723012287	1.10245865629992	1.99890146867518
STAD	-0.16581424926303	0.847203588265514	0.129901791476771	-1.27645852592172	0.201793478820376	0.656772834498836	1.09284958553083
THCA	-0.200222501716858	0.818548604344732	1.04034881390299	-0.192457086547445	0.847384179468785	0.106536385070447	6.28913602833117
THYM	0.608106234468239	1.83694935136639	0.922079434737633	0.659494411825017	0.509578333357351	0.301454481251592	11.193673106054
UCEC	0.527011027405822	1.69386182804741	0.170896266404988	3.08380655992166	0.00204370431690606	1.21174382544222	2.36780071189472
