	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0269394104226685	1.0273055568683	0.0391895239553284	0.687413566272872	0.491822151051471	0.95135247864546	1.10932249703613
BRCA	-0.0163845802929513	0.983748916850108	0.0692102157059471	-0.236736443107826	0.812861260943845	0.858958980773615	1.12666838937076
CESC	-0.130598666512584	0.877569901915221	0.0657915390151563	-1.98503741465142	0.0471403089752593	0.771400400926196	0.998351740319062
CHOL	-0.0618762225319058	0.939999230315326	0.21944060931426	-0.281972524252761	0.777964578278347	0.611419538205703	1.44515917104391
COAD	-0.109438050524043	0.896337690292384	0.0936595255451404	-1.16846684720069	0.242618504511516	0.746016659393068	1.07694814173764
ESCA	-0.0172783933036442	0.982870022111262	0.100857870951787	-0.17131427761254	0.863976654510265	0.806576777204244	1.19769562881968
GBM	0.164110373186819	1.17834436553834	0.0872055246311739	1.88188046435023	0.0598522474615148	0.993213816506191	1.39798240894418
HNSC	-0.0696481646979072	0.932721926683633	0.0516937011871884	-1.34732400850355	0.177875903023315	0.842850265922123	1.03217644662499
KICH	-0.702296286750886	0.495446309766559	0.399093819577708	-1.75972729293078	0.0784540558985822	0.226614305893681	1.08319307068136
KIRC	-0.416887138621768	0.659095302150789	0.0673666964508465	-6.18832688234826	6.08061363262652e-10	0.577571267413896	0.752126433266526
KIRP	-0.544985180334357	0.579850376464875	0.171258349570976	-3.1822400583657	0.00146140633632915	0.414515306466719	0.811131588728081
LIHC	-0.158053119779382	0.853804426861075	0.0590796023369045	-2.67525700119097	0.00746719835478606	0.760448405401212	0.958621247871457
LUAD	-0.149161424395042	0.861430047850508	0.0614533335947193	-2.4272308053905	0.0152145731722931	0.763678992518829	0.971693256733696
LUSC	-0.0620273703585866	0.939857162211495	0.0582846748951227	-1.0642140574722	0.287231740243583	0.838397259620053	1.05359538718024
PAAD	-0.258062275473361	0.772547119871254	0.0955591062033733	-2.70055137313802	0.00692246450921087	0.640597027482137	0.931676275126038
PCPG	-0.228531124926816	0.795701530667149	0.193064719941333	-1.183702154367	0.236530985869594	0.545020961986969	1.16168178852758
PRAD	0.00293829896311472	1.00294261999464	0.4705127817613	0.00624488659397434	0.995017333788899	0.398818119227464	2.52218705847715
READ	-0.0613302154574621	0.940512616688591	0.207276533837538	-0.295885956417682	0.767317176284988	0.626513625286875	1.41188307236796
SARC	-0.11776683410347	0.88890329038592	0.0538216531584597	-2.18809395833206	0.0286627589142185	0.799910577343532	0.98779673883419
STAD	-0.0817432359119232	0.921508538622009	0.0680138833267813	-1.20186103062484	0.22941737492993	0.806502728987499	1.05291396573369
THCA	-0.555858606847194	0.573579570366316	0.60329590204208	-0.921369770564799	0.356857405718593	0.17581959344992	1.87119943281701
THYM	-0.180603884634469	0.83476595683609	0.345244929428741	-0.523118137993526	0.600892044095675	0.424318251493251	1.64224423587765
UCEC	0.175959419857221	1.1923896703258	0.0841983219153758	2.0898209828228	0.0366338837434478	1.01099373313983	1.40633228406276
