	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.16907619214881	1.18421036301894	0.100679107638564	1.67935727793487	0.0930824341785295	0.97214410161627	1.44253735793894
BRCA	0.0136509479312446	1.01374454754382	0.0978291766955733	0.139538616109629	0.88902454316721	0.836866503675898	1.22800709929338
CESC	0.323524710077345	1.38199030493345	0.153723013297419	2.104595162023	0.035326563125863	1.02248213859902	1.86790275431797
CHOL	0.374240998843376	1.45388749344335	0.381261429131244	0.981586308628531	0.326303695263092	0.688653063583867	3.06945391717343
COAD	0.0724089600007252	1.07509492499348	0.140661570451501	0.514774289582465	0.606710753535685	0.816047551276214	1.41637469034635
ESCA	0.0149328346750722	1.01504488650652	0.14879276225306	0.10035995332673	0.920058561815186	0.75828526847769	1.35874474218848
GBM	0.143798880380949	1.15465186202841	0.136148897398503	1.05618835795676	0.290882168575962	0.884221170242914	1.50779122616958
HNSC	0.268339187554129	1.30779065110622	0.10368346404639	2.58806155853423	0.00965177303586416	1.06729064760387	1.60248418831422
KICH	1.49379281158665	4.45395654142708	0.729598324759915	2.047418094166	0.0406170512845235	1.06588599327441	18.6114922215831
KIRC	0.39453983892903	1.48370129223563	0.109573792156362	3.60067705210039	0.000317389610368358	1.1969529900376	1.83914451353059
KIRP	0.823638100471361	2.27877518821261	0.271313034842463	3.0357483596378	0.00239939523703021	1.33893473462638	3.8783192519555
LIHC	0.234718784409351	1.26455310667758	0.101888275280256	2.30368787540792	0.0212401709396208	1.03564190693823	1.54406127146349
LUAD	0.400051726771573	1.49190186691247	0.0876365346589831	4.56489668753198	4.99740385577598e-06	1.2564462193179	1.77148145800085
LUSC	-0.0629941870481599	0.93894893173819	0.0914622951201346	-0.688744875310836	0.490983830893447	0.784854450766625	1.12329756880545
PAAD	0.235914262000536	1.26606575556825	0.128716116714759	1.83282612948411	0.0668284320414463	0.983768483124682	1.62936963820119
PCPG	-2.0106535085811	0.13390114052541	1.21551364040233	-1.65415955999933	0.098095097140779	0.012363379197205	1.45021156012581
PRAD	0.0432094399344625	1.0441565600327	0.554101175259825	0.0779811374956948	0.937843057393108	0.352463253566158	3.09326691741125
READ	0.145033526065679	1.15607832837628	0.31596488841378	0.459017857312509	0.646221342607274	0.62235396309423	2.14751922635212
SARC	0.113960900512415	1.12070830490703	0.113170813409536	1.00698136806722	0.313943727920675	0.897762414176931	1.3990194787104
STAD	-0.0380258830782749	0.962688023239268	0.113773784497614	-0.334223593301253	0.738210841782017	0.770266744205346	1.20317829772651
THCA	0.1019723858491	1.10735289269585	0.542907392677233	0.187826482425012	0.851012675248744	0.382087151641357	3.20929511420173
THYM	-0.123627402857267	0.883709047014236	0.350581452510077	-0.352635320471533	0.724361854624263	0.444522581441792	1.75680991782657
UCEC	-0.0807414194987283	0.922432183584991	0.141002820809461	-0.572622725100195	0.566900169426826	0.699701215538409	1.21606353457402
