	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.00112390746518888	0.998876723882259	0.0464478757444979	-0.0241971768821316	0.980695329993999	0.911959159570877	1.09407828085552
BRCA	-0.134958166568226	0.873752462987544	0.0655826418191385	-2.05783364049909	0.0396061055881757	0.768359326239778	0.993602004303069
CESC	-0.177643256117782	0.83724105084169	0.089255120165365	-1.99028644842624	0.0465593899628908	0.702872283598669	0.997297223935982
CHOL	-0.208463649098262	0.811830544938546	0.18862102632425	-1.10519836075911	0.269073647018193	0.560932855706156	1.17495138141893
COAD	0.132438558417325	1.14160887167844	0.0807055281307738	1.64100974846139	0.100795391612369	0.974587114411727	1.33725430659074
ESCA	-0.0329012465061599	0.967634112120212	0.0804677080697626	-0.408875153715522	0.682631283653537	0.826450663951517	1.13293607928374
GBM	-0.0615964120069952	0.940262288794925	0.087418348815188	-0.70461651177165	0.481048920098485	0.792206469544826	1.11598832591943
HNSC	-0.169193021003613	0.844345911160911	0.0515097254492186	-3.28468108746596	0.00102097864323968	0.763264822176153	0.934040187600332
KICH	-1.42410995922164	0.240722620838514	0.368463332425504	-3.86499777290475	0.000111090213279873	0.116917722226484	0.495625291699677
KIRC	-0.482451379820901	0.617268376383753	0.0879201261229802	-5.48738270855142	4.07932703068579e-08	0.519560685250678	0.733350808288352
KIRP	-0.696340433153158	0.49840592020766	0.150166829329472	-4.63711217891777	3.53310682627343e-06	0.371330784826277	0.668968131511797
LIHC	-0.224988968277396	0.798525027817387	0.0638513699462312	-3.5236357256995	0.000425669022874207	0.704592714008246	0.904979866202954
LUAD	-0.243415017115391	0.783946095202036	0.0553186345067972	-4.40023545927335	1.08133480255685e-05	0.703394380221941	0.873722476981697
LUSC	0.0493059225092936	1.05054168593437	0.0552293022661897	0.892749328457075	0.371991427475083	0.942761899484411	1.17064322867671
PAAD	-0.271969647645739	0.761877385511204	0.0718663351496982	-3.784381756482	0.000154091145580326	0.661778033405658	0.877117585130812
PCPG	0.166468431946282	1.18112624942496	0.558620057318295	0.297999382165812	0.76570363517418	0.395182829592663	3.53016151667984
PRAD	0.410361463230309	1.50736254278595	0.657040081712159	0.624560775898118	0.53225937007268	0.415857164052155	5.46375542326635
READ	0.250302726000413	1.28441418340849	0.221485814155867	1.13010725745291	0.258431032027571	0.832100965439705	1.98259569819048
SARC	-0.0578695561538051	0.943773048794136	0.0566060083528575	-1.02232179653211	0.306628620299474	0.844664903794424	1.054509976239
STAD	0.0122402690890235	1.01231548776837	0.0585447866525094	0.209075304376378	0.834389452922481	0.902573272023957	1.13540105666735
THCA	-0.106752987522395	0.898747647457086	0.584683616702065	-0.182582484736856	0.855125628468874	0.28572890034128	2.826971065387
THYM	-0.337461783148671	0.713579244937323	0.283875655720095	-1.1887661951591	0.23453168398117	0.409078649464117	1.24473701932954
UCEC	-0.0423971396094575	0.958489051008707	0.0694527126641807	-0.610446129216826	0.541566318692885	0.83650569114326	1.09826062228934
