	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.121394003736242	1.12906968241441	0.0705757517248901	1.72005257853214	0.0854228846069161	0.983210611640408	1.29656691318707
BRCA	0.0897055810961093	1.09385218553016	0.0679163690722763	1.32082415949894	0.186560002141424	0.957520588080947	1.24959464964314
CESC	0.218607064894482	1.24434223486562	0.16206331125655	1.34889916292295	0.177369357145039	0.905714459812983	1.70957588309905
CHOL	0.270487757369396	1.3106035513981	0.226877866980109	1.19221747352337	0.233175983673011	0.840141716882092	2.04451419852345
COAD	-0.25256508864887	0.776805649963606	0.097833785604023	-2.58157329893289	0.00983511034036331	0.641262887711138	0.940997879932197
ESCA	0.19277714279367	1.21261252396503	0.140309360872884	1.37394356010444	0.169459204920197	0.921065477613488	1.59644365033284
GBM	-0.0118592966503169	0.988210747642758	0.0888503452721266	-0.133474964154554	0.893817762803207	0.830271292306302	1.17619444488319
HNSC	0.242953585325966	1.27500944359733	0.0791144734173039	3.07091199412354	0.00213406041530081	1.09187026658584	1.48886651739827
KICH	0.709296481917499	2.0325608122481	0.199185736865478	3.56098028442935	0.000369472828240978	1.37561322212594	3.0032449448995
KIRC	0.347683467886134	1.41578403769278	0.0710998449144056	4.89007350585218	1.0079833006351e-06	1.23161994651384	1.62748617953076
KIRP	0.769468239381406	2.15861808044952	0.116658886373995	6.5958819194843	4.22735290889208e-11	1.71741632285784	2.71316392841183
LIHC	0.279363621801595	1.32228806923309	0.0674372614628757	4.14257067593685	3.43434483347843e-05	1.15857293361038	1.50913739421447
LUAD	0.266390438625381	1.30524457711109	0.0599620071391768	4.44265379587889	8.88560768571152e-06	1.16051870446249	1.46801891216996
LUSC	-0.0614023093126706	0.940444813952292	0.086834995801952	-0.707114784144325	0.479495149218116	0.793266717790333	1.11492947864166
PAAD	0.514144367281316	1.67220709440297	0.118864710274012	4.32545846530975	1.52214948532545e-05	1.32468383531889	2.11090110109065
PCPG	0.426938170217412	1.53255790107271	0.403618533716129	1.05777642638602	0.290157382529233	0.694794181252318	3.3804740792546
PRAD	0.410209138481426	1.5071329516518	0.280988759489002	1.45987739590516	0.144323772608507	0.868907407368772	2.61414474625445
READ	-0.162627843892385	0.849907427805895	0.251297718244556	-0.647152091266185	0.517533514451884	0.519357753049445	1.39083826437239
SARC	0.142751785347941	1.15344346456272	0.0788095657247236	1.81135099572257	0.0700865364558266	0.988356194843466	1.34610561747242
STAD	-0.0576801713178716	0.943951802024182	0.0773565395558621	-0.745640532126163	0.455884591349518	0.811154933680533	1.09848928675275
THCA	0.116819511091733	1.1239165569106	0.269598635399253	0.433308985109413	0.664790311440379	0.662599790979148	1.90641235342246
THYM	-0.456787247083411	0.633315065357926	0.190494367359826	-2.39790421845168	0.0164891763356749	0.4359841688077	0.919959945119528
UCEC	0.289054970093154	1.33516512066236	0.104177953488248	2.77462707237537	0.00552650393396973	1.08857547004172	1.63761351279119
