	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.342572171808584	1.40856600875023	0.146783268298606	2.33386390546692	0.0196028492680293	1.05641621688854	1.87810274898107
BRCA	0.150505836536899	1.16242208960275	0.166092902500109	0.90615453322456	0.364854064503584	0.839431610411155	1.60969053063728
CESC	0.575688581217256	1.77835464702017	0.319743664814847	1.80046907747372	0.0717866020072044	0.950281059436521	3.3280104019473
CHOL	0.19610376345455	1.21665314291788	0.494737726395158	0.396379238922073	0.691825279454509	0.461365659815478	3.20839845506484
COAD	-0.0757308523731462	0.927065690514408	0.301507992731556	-0.251173614626437	0.801679883260914	0.51341250214411	1.67399662248139
ESCA	-0.186095779564033	0.830194075547207	0.258326743441307	-0.720389136196092	0.471285436988721	0.500370280843966	1.37742433845428
GBM	-0.309684143392486	0.733678656881839	0.24181616789317	-1.28065937894318	0.200313333575115	0.456742673962972	1.17852874769389
HNSC	0.0902758108571416	1.0944761104739	0.161143458190165	0.560220140929377	0.5753292906807	0.798069523186339	1.5009694288481
KICH	2.40294592436949	11.05569770373	0.93000712082922	2.58379303830164	0.00977204138210889	1.78633397700977	68.4241879118621
KIRC	-0.108082106230828	0.89755389863737	0.235963341280131	-0.458046176344464	0.646919266694621	0.565207840147132	1.4253217024545
KIRP	2.0674477098513	7.90462245981175	0.378713748157902	5.45913033236198	4.7847244128465e-08	3.76287165152838	16.6051521334196
LIHC	0.250977501210968	1.28528116673607	0.166255237040729	1.50959155138965	0.131147678479167	0.927857813978981	1.78038881893154
LUAD	0.353904096238728	1.42461855365052	0.156778172351036	2.25735566968031	0.0239858593797776	1.04772853920436	1.93708384134169
LUSC	0.139568550388404	1.14977762071911	0.151161938142728	0.923304848450824	0.35584836192373	0.854957598045306	1.54626215396994
PAAD	0.22844696322931	1.25664687487232	0.390038950910167	0.585702947606188	0.558075152937623	0.585074942497222	2.69907537209877
PCPG	1.95531042529163	7.06611218321265	0.995067719431732	1.96500236828934	0.0494139634384313	1.00502612181304	49.6802424355638
PRAD	0.27333611705331	1.31434194333042	1.09633550523375	0.24931794669464	0.803114850099278	0.153287200739654	11.2696607131054
READ	0.0237802648861071	1.02406527006732	0.570219320776676	0.041703716481786	0.966734891216482	0.334931559802808	3.13111633306663
SARC	0.0877029232060974	1.09166376587965	0.191476209256058	0.458035614695158	0.646926854461785	0.750073894854872	1.58881649649349
STAD	-0.0916837952838324	0.912393607098433	0.211725882373698	-0.433030644416017	0.664992507229225	0.602505250380241	1.38166778422051
THCA	0.65278627347072	1.9208854919965	0.905633940000469	0.720805884848333	0.47102895420421	0.32555507444989	11.3338767014998
THYM	0.949605288251872	2.58468925073294	1.27167660119341	0.746734891056981	0.455223604070723	0.213774181001882	31.250820335481
UCEC	0.623345472548937	1.86515744892592	0.215063623476571	2.89842355704959	0.00375043721385862	1.22363815593697	2.84300738123032
