	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0349407683888339	1.03555836919236	0.0949874613579997	0.367846112416302	0.712987983210989	0.859648894886718	1.24746410119639
BRCA	0.0783641429052342	1.08151641350309	0.101032862633852	0.775630234186574	0.437967343439935	0.887225031666538	1.3183552209742
CESC	-0.0617267181623109	0.94013977481342	0.167695781375133	-0.368087483514145	0.712808003444297	0.676783121274129	1.30597641755936
CHOL	0.0477641478710057	1.04892323537014	0.342540144900734	0.139441021970863	0.889101658133739	0.536010140421446	2.05264764736407
COAD	0.27526846798962	1.31688416865994	0.149352520871402	1.84307882038788	0.0653175031656318	0.9826943983264	1.76472351589733
ESCA	0.269655754201838	1.30951357858521	0.229433700526305	1.17531013788849	0.239870660064192	0.835248464875226	2.05307268987944
GBM	0.24180957160557	1.27355164932754	0.201800461337422	1.19826074728963	0.230815522733253	0.857518895445946	1.89142631389064
HNSC	0.231590707836233	1.26060366802277	0.118619019390768	1.95239101642967	0.0508917988059002	0.999102105297778	1.59054975403024
KICH	0.988205048631495	2.68640817013484	0.69505924964076	1.42175656124603	0.155096933944032	0.687917715485909	10.4907733790075
KIRC	0.380726176571475	1.46334685189227	0.137012532568705	2.77876898874605	0.00545653150318826	1.11872153566942	1.91413496626904
KIRP	0.26015631843403	1.29713283659233	0.235520695731778	1.10460067055129	0.269332660406685	0.817539742417766	2.05806948392519
LIHC	0.279950797768575	1.32306471299973	0.104049658023642	2.69054990747749	0.00713343643322829	1.07898114913104	1.6223640572357
LUAD	0.184643826742163	1.2027899622067	0.116668811828495	1.58263227205564	0.11350530341345	0.95693209844378	1.51181436544758
LUSC	0.0998559861696066	1.10501176963856	0.12352405911903	0.80839301170781	0.418864373617024	0.867407222568866	1.40770214873649
PAAD	0.236386277429836	1.26666349920039	0.19425980165576	1.21685637180216	0.223658867516418	0.86557960101787	1.85359777231333
PCPG	-0.217569894109229	0.80447137514462	0.746579434638664	-0.291422297500774	0.770728363304491	0.186217730163816	3.47536291446447
PRAD	0.978410055098239	2.66022326929994	0.613947672899962	1.59363753343465	0.11101724274282	0.79859186404452	8.86158269467462
READ	0.0360807919024906	1.03673960327238	0.321422622266639	0.112253430228565	0.91062246563886	0.552171842896592	1.94654801547832
SARC	0.0336743335126541	1.03424773205076	0.117789250356942	0.285886304655214	0.774965203480847	0.821035972555595	1.30282765555647
STAD	-0.269308945261384	0.76390721367425	0.122214145720427	-2.20358243862741	0.0275537234454989	0.601189991202649	0.970665246665512
THCA	0.728811075108143	2.0726149587132	0.370946342650676	1.96473449475271	0.0494449752971361	1.0017711699879	4.28813774620166
THYM	0.932592296936755	2.54108790131373	0.462314184305014	2.01722622536165	0.0436719104588742	1.0268266726491	6.28843006731051
UCEC	0.277557058241764	1.31990142825003	0.140767399094331	1.97174246329414	0.0486390135212915	1.00165940110429	1.73925366085102
