	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0876995493972851	1.09166008282103	0.0842183843183701	1.04133497818903	0.297720108329071	0.925551548329428	1.28758007976522
BRCA	0.0633303586686381	1.06537873820322	0.0784914445568613	0.806844096527742	0.419756310016648	0.913465157405558	1.24255626677564
CESC	-0.180254310235508	0.835057820654811	0.191708173516871	-0.940253651833188	0.34708746736053	0.573501099137994	1.21590275046531
CHOL	0.302160065709094	1.35277774270926	0.324521032796151	0.931095476634013	0.351804178253207	0.716132931455059	2.55540213386263
COAD	-0.157513445276772	0.854265327697497	0.132126365585629	-1.1921424204671	0.233205406106134	0.659366097894219	1.10677399465446
ESCA	0.0797268405839605	1.08299119802378	0.176381758449884	0.452012959189392	0.651259646618344	0.766458247707337	1.53024634871543
GBM	-0.0562554077558618	0.945297668699228	0.0988068316216988	-0.56934735010274	0.569120439304633	0.778868355412106	1.14728975216279
HNSC	0.0363235686421811	1.03699133008864	0.0961682904731231	0.377708374179041	0.705647246174274	0.858848434111046	1.25208474041413
KICH	1.11398587775411	3.04647711187678	0.274416792992646	4.05946686281681	4.91848870024072e-05	1.77915555909502	5.216532498097
KIRC	0.45865949776153	1.58195195288386	0.0915684519045849	5.00892488866643	5.47349275083178e-07	1.32205669978506	1.89293846598252
KIRP	0.792536903228497	2.20899332615833	0.110843933513923	7.15002506771333	8.67620550403496e-13	1.77764025551119	2.7450163214316
LIHC	0.293523926278364	1.3411452676413	0.0758812806307023	3.86819942729856	0.000109641978832753	1.15580763320565	1.55620241400207
LUAD	0.253611869842233	1.28867153490312	0.0667112413559884	3.801636196348	0.000143743687154048	1.13072637892979	1.4686792099441
LUSC	-0.147073821404096	0.863230250195004	0.0977669226664481	-1.50433109064779	0.132496137558293	0.712700880730021	1.04555288901629
PAAD	0.61537553167672	1.85035133464187	0.141561827847215	4.34704426352056	1.37984381136746e-05	1.40202756204609	2.44203477470466
PCPG	1.21708759438984	3.37733722037106	0.446578101115179	2.72536336051986	0.00642307562277035	1.40749369284913	8.10405528497555
PRAD	0.670401967585013	1.95502301859423	0.339909587623748	1.97229496311559	0.0485759442988745	1.0042002141197	3.80612844878134
READ	-0.0677876432545576	0.934458891157688	0.323123751138889	-0.209788488205004	0.833832758220206	0.496040075552504	1.76036869257196
SARC	0.210815513582456	1.234684551519	0.0952564012076004	2.21313749952623	0.0268881674671989	1.02440955009078	1.48812156390438
STAD	-0.154904101956372	0.856497309961776	0.092741756927749	-1.67027353252593	0.0948652572975945	0.71414117978476	1.02723055711878
THCA	0.46417498243601	1.59070129087558	0.371712043297301	1.24874883880143	0.211756951697496	0.767691564636888	3.29602500971865
THYM	-0.438744596334226	0.644845454492559	0.209789395179596	-2.09135736321956	0.0364960412101117	0.427447307622846	0.972811508609654
UCEC	0.17084971728818	1.18631245337211	0.114587330747607	1.49100006234108	0.135961478540831	0.947681006807971	1.48503265013829
