	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.140996473858806	1.15142058790602	0.0558035606132739	2.52665730124159	0.0115153807249554	1.03212884063947	1.28449987836058
BRCA	0.00806490143570547	1.00809751035692	0.0804540637423247	0.100242312949355	0.920151954293469	0.861033242685297	1.18028031904833
CESC	0.290106519633707	1.33656985137408	0.0745219378500575	3.8929009094935	9.90526185021036e-05	1.15493747162775	1.5467668263325
CHOL	0.175065660825401	1.19132443739019	0.214342385580982	0.816757079337715	0.414067264725609	0.782675034536136	1.81333740377217
COAD	0.0707888974122379	1.07335461401342	0.100746978250607	0.702640403131015	0.482279876759216	0.881022995753121	1.30767316287705
ESCA	-0.0229274822630226	0.97733335520672	0.117354822021009	-0.195368898083439	0.845104163170011	0.776515475455287	1.23008557767581
GBM	0.0877019486064796	1.09166270194508	0.0805507971165975	1.08877815919724	0.276251725240594	0.932230933123611	1.27836077142918
HNSC	0.0692594217305283	1.07171419904062	0.0541614392168212	1.27875888698722	0.2009819757602	0.963777279926687	1.19173936587575
KICH	0.284924883463796	1.32966214475544	0.28791586824697	0.98961160146752	0.322363997227304	0.7562525869536	2.33784511907277
KIRC	0.201993323773732	1.22383983745241	0.0613933231133787	3.2901513312889	0.00100133513965813	1.08509183241387	1.38032920624203
KIRP	0.285873508526431	1.33092409405452	0.112175775829378	2.54844244590963	0.0108205139762203	1.06824063407481	1.65820217620631
LIHC	0.0832891411574401	1.08685601792761	0.0928229948611735	0.897289957967934	0.369564213573996	0.906068303406355	1.30371628636003
LUAD	0.230695182508584	1.25947527083947	0.0536436849048548	4.30050961110812	1.70405780168545e-05	1.13377808293831	1.3991079751208
LUSC	0.0511353640254914	1.05246534958767	0.0456975040951354	1.11899686947968	0.263141474565705	0.962298968833973	1.15108022346203
PAAD	0.243688919618537	1.27594734655841	0.0818102140360999	2.97871020739545	0.00289464402453054	1.08691547642849	1.49785486221895
PCPG	0.122843003403996	1.13070688987918	0.272871797148659	0.450185782069196	0.652576487285891	0.662340243952933	1.93027387735041
PRAD	0.163883609098178	1.17807718964628	0.381523713116409	0.42955025720295	0.667522827960008	0.557725079066141	2.48844084094037
READ	-0.0946129085640295	0.909725013082179	0.206760960069922	-0.457595614433369	0.647242994854098	0.606617433945234	1.36428587956159
SARC	0.153964179503488	1.16644910324406	0.0694060575521941	2.21831040306108	0.0265336753483331	1.01809252845751	1.33642421727649
STAD	0.137529210253669	1.14743522235647	0.0895987009751673	1.53494647530421	0.124796976179226	0.962634948206564	1.36771222773197
THCA	0.50615608787614	1.65890224907187	0.220539249152791	2.29508393549246	0.0217283145308848	1.07670677733062	2.55590169015039
THYM	0.150712929231911	1.16266284365437	0.260169538399871	0.579287376065797	0.562395282080342	0.698227710994239	1.93602297177465
UCEC	0.00717305119747093	1.00719883915178	0.0995723177975278	0.0720386082812368	0.942571182686974	0.828627049090835	1.22425342342099
