	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0318663507871774	1.03237951937437	0.0638098896019457	0.499395171907737	0.617501019828117	0.911012432531045	1.16991539738107
BRCA	0.0188828308484423	1.01906223896406	0.0574355214707591	0.328765724849485	0.742332771814487	0.91056615673565	1.14048588254738
CESC	0.116661785604333	1.12373930060315	0.194204812850457	0.600715213449244	0.548029684363613	0.767994541557364	1.64426951936317
CHOL	0.504856999409306	1.65674858749384	0.315095710175865	1.60223380739627	0.10910391676762	0.893401452531693	3.07232081880396
COAD	-0.193472739239798	0.824092301271511	0.148168213782039	-1.30576413321958	0.191632780697058	0.616388950284542	1.10178503476007
ESCA	0.149443601137403	1.1611879792839	0.167992679775932	0.889584006497964	0.373689297131741	0.835423914527138	1.6139800402968
GBM	0.00626578184787827	1.00628545292239	0.0774045670574225	0.0809484774099958	0.935482927033323	0.864637978324264	1.17113802325192
HNSC	0.0629672306609859	1.06499193957757	0.0783604305139801	0.803559018856488	0.421651698858081	0.913368019933892	1.24178623141118
KICH	0.658673220359498	1.9322269935215	0.17036288344368	3.86629532821477	0.000110501116477908	1.38370973272306	2.698182332754
KIRC	0.436563287694149	1.54738016951665	0.0786522936045689	5.55054744988122	2.84776401579853e-08	1.3263192506011	1.8052858600433
KIRP	0.790656862932695	2.204844231147	0.140325656824986	5.63444263025115	1.75625412063943e-08	1.67468255757201	2.90284153354429
LIHC	0.263999164106717	1.30212710786114	0.065124847218357	4.05373947706249	5.04053491547978e-05	1.14609075621305	1.47940727715948
LUAD	0.173683009846504	1.1896783897076	0.051498863395539	3.3725600604527	0.000744728420391444	1.075458510829	1.31602907660871
LUSC	-0.0290837765780881	0.971335085928169	0.0742607085622485	-0.391644210527682	0.695321116908679	0.839765921528117	1.12351766720685
PAAD	0.342624612586733	1.40863987698464	0.0891957092347738	3.84126787629329	0.000122400449869694	1.18270505562296	1.67773553820326
PCPG	0.733392750889584	2.08213279564561	0.356426303465209	2.05762802509095	0.0396258542954758	1.0354229938691	4.18696224091297
PRAD	0.423919306521845	1.52793829415402	0.275290454474088	1.5398983133349	0.123585142005029	0.890795790146065	2.62079755715898
READ	-0.201562536598216	0.817452455265852	0.284126975088368	-0.709410067578157	0.4780700420131	0.468396005713008	1.42663154354395
SARC	0.155070690630076	1.16774050649967	0.0756568249878987	2.04965897861666	0.0403977206891251	1.00680911579988	1.35439565367537
STAD	-0.0926479898892912	0.911514306081184	0.0741230322993951	-1.24992174517457	0.211328135076447	0.788260654796782	1.05404008830666
THCA	-0.263876889947831	0.768068090739212	0.189007686960963	-1.39611723835513	0.162679193563347	0.530293236409479	1.11245731890921
THYM	-0.439210229632045	0.644545262872032	0.193037361581879	-2.27526021922833	0.0228903243135555	0.441509162515858	0.940951244416936
UCEC	0.215259705622083	1.24018393788742	0.109942513144179	1.95792964401124	0.0502382688854976	0.999776364499818	1.53840024070126
