	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0166518469819186	0.983486028666519	0.0252449613476995	-0.659610714097451	0.509503676942389	0.936008181134421	1.03337213079694
BRCA	0.0559748913488971	1.05757112921874	0.029442979540775	1.90112862970878	0.0572851664394364	0.998269211396537	1.12039586174587
CESC	0.130176397464982	1.13902928748346	0.040344494248487	3.22662112612464	0.00125261201615458	1.05243091110418	1.2327533371135
CHOL	-0.00147301122114392	0.9985280731274	0.129552732699121	-0.0113699741445432	0.990928268633758	0.774613021516025	1.28716957387592
COAD	-0.0899269522255677	0.913997948348714	0.0440943731679196	-2.0394201292557	0.0414081151306349	0.83832423709786	0.996502561440486
ESCA	-0.0386767724355812	0.962061623731037	0.0643214523347823	-0.601304402056645	0.547637258125063	0.848110366533339	1.09132325741902
GBM	0.0385584562748972	1.03931148085991	0.0375294955698293	1.02741738702971	0.304223967759292	0.965607344187339	1.11864140299834
HNSC	0.0465293165039435	1.04762879143194	0.0288738448938373	1.61146936526886	0.107077459095462	0.989988076779425	1.10862555861032
KICH	0.444127616121963	1.55912944297971	0.137190996050984	3.23729420228797	0.00120668939134924	1.19153001104852	2.04013713244798
KIRC	0.0925389271446383	1.09695584208792	0.0314708751966399	2.94046246144811	0.00327722708750497	1.03133816175286	1.16674837033633
KIRP	0.190098655218997	1.20936890232605	0.0438883543969945	4.33141451373294	1.48154468273996e-05	1.10968818479379	1.31800370766775
LIHC	0.124099486987494	1.13212849745032	0.0340083090963191	3.64909312709483	0.000263167696442154	1.05912640911073	1.21016237883754
LUAD	0.0599475938781189	1.06178090126797	0.0297863573034487	2.01258560311361	0.0441582427966419	1.00156863535607	1.12561300593906
LUSC	0.0210673368579203	1.02129081983702	0.0286351147173692	0.735716866017704	0.461903023275171	0.965550902919159	1.08024852499226
PAAD	0.104480397557611	1.11013363232236	0.0367407409753945	2.8437204798777	0.00445901469376257	1.03300276673205	1.19302360197154
PCPG	0.109262178950604	1.11545476076647	0.124949785043364	0.874448714839207	0.381873937814981	0.87316136585519	1.42498210751451
PRAD	0.0220464147118352	1.02229123272226	0.148542863788149	0.1484178650499	0.882013001939628	0.764072767850671	1.3677746524596
READ	-0.145954905644072	0.864196672698334	0.074553434011786	-1.95772210333059	0.0502626301645673	0.74671107342621	1.00016715391147
SARC	0.0353782058473839	1.03601146030584	0.025509623983355	1.38685720614573	0.165485309152787	0.985486611058595	1.08912666477742
STAD	0.0574848084692291	1.05916918013132	0.0358846338705154	1.60193381592396	0.109170245716199	0.987234398907686	1.13634548530856
THCA	0.114539007262303	1.12135638125336	0.114221537404511	1.00277942203376	0.315967299603059	0.896433566098776	1.40271424602042
THYM	0.133086999888834	1.14234937827673	0.139879772254272	0.951438494244254	0.341381827090402	0.868426508386483	1.50267419228579
UCEC	0.0894494067672608	1.09357200456979	0.0483313143299117	1.85075469201345	0.0642048519297457	0.99473567672796	1.20222864943633
