	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0309680840856206	1.03145258360884	0.0732302429979341	0.422886540011813	0.672378043699233	0.893543237165508	1.1906468405583
BRCA	0.0337297414287131	1.0343050391499	0.0663294622898123	0.508518240074647	0.611089950693175	0.908215479987747	1.17789989004074
CESC	0.040878984627757	1.04172603305361	0.2009943216512	0.203383778665635	0.838835077601487	0.702533180468744	1.54468594240283
CHOL	0.395778534894527	1.48554028578213	0.219311506820803	1.80464099048808	0.0711308793510767	0.966509530185727	2.28329868641604
COAD	-0.181992892685587	0.833607265103611	0.15591153349079	-1.16728306502314	0.243096075367736	0.614114501863212	1.1315496871108
ESCA	0.129473129073886	1.13822852579724	0.153972060392701	0.840887163188365	0.400411150465423	0.84172109229274	1.53918464061486
GBM	-0.00330941466735745	0.996696055409448	0.0804850623997384	-0.0411183711447083	0.967201528932862	0.851243346021069	1.16700239891704
HNSC	0.112024860353649	1.11854066761597	0.0877606600149191	1.27648151614408	0.20178535671177	0.941780663761417	1.32847622939488
KICH	0.648330858512739	1.9123461872419	0.153635195485191	4.21993708189886	2.44370509715511e-05	1.4151158614181	2.58428870707016
KIRC	0.401278967580817	1.4937339137183	0.0674087003766421	5.95292544343229	2.6339130661908e-09	1.3088649910351	1.7047144054389
KIRP	0.650278472173092	1.91607432811008	0.0917769121930668	7.08542548048611	1.38617745681995e-12	1.60063276575632	2.2936809175637
LIHC	0.205965955385318	1.22871137227802	0.0594308423866746	3.4656408543773	0.000528969365144273	1.09360944689548	1.38050347009267
LUAD	0.218866068337209	1.24466456552895	0.0542964482541305	4.03094632107099	5.55527311254645e-05	1.11901293117256	1.38442536053631
LUSC	-0.0547273031462386	0.946743286670671	0.0835779076432017	-0.654805853478317	0.512592761450422	0.803693748631394	1.11525422759892
PAAD	0.376839079990042	1.45766972227063	0.0971784010229678	3.87780696145615	0.000105402295853374	1.20487148994861	1.76350842139618
PCPG	0.63156942479149	1.88055966143222	0.337676510854814	1.87033863620747	0.0614368074794693	0.970189006010013	3.6451708051715
PRAD	0.311580293802528	1.3655814297476	0.242998735510971	1.28223010357377	0.199761938955467	0.84815788439889	2.19866215426758
READ	0.101663126141205	1.10701048601274	0.313347130688887	0.324442499019222	0.745603048753869	0.599004622020859	2.04584767978551
SARC	0.157006754157084	1.17000351626176	0.0749981516646812	2.09347498134442	0.0363067751464089	1.01006337659374	1.35526963929857
STAD	-0.0379579759704019	0.962753398818419	0.0754217388097511	-0.503276330795683	0.614770005193524	0.830454724234404	1.11612840518298
THCA	0.0940524162756391	1.09861732983678	0.21502642979401	0.437399329774199	0.661821770109502	0.720801391753092	1.67446962676111
THYM	-0.366133105100167	0.693410498593046	0.17173651618143	-2.13194673585533	0.0330112255423403	0.49523123125097	0.97089619801339
UCEC	0.143930810301131	1.15480420520549	0.110129934265114	1.30691815319392	0.191240510119308	0.930605439459751	1.43301628790658
