	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.048130304399155	1.04930737578377	0.0726815302473729	0.662208187352999	0.507837807814933	0.909988900109998	1.20995538378669
BRCA	0.0564167656512876	1.05803854598581	0.0656270606789399	0.859657054081535	0.389978114686231	0.930335588857845	1.20327071026714
CESC	-0.0881783416296716	0.91559757299854	0.159614782956503	-0.552444704659349	0.58064370915708	0.669638296980386	1.2518981059791
CHOL	0.409736742836191	1.50642115674629	0.278595217744254	1.47072425059472	0.141365705157302	0.872580949678913	2.60068100538737
COAD	0.0563538028457083	1.0579719310077	0.112275608764877	0.501923823577054	0.615721106439525	0.848994690366384	1.31838822963325
ESCA	-0.011135268640527	0.988926498984369	0.131362174922521	-0.0847676939506729	0.932446077561425	0.764448667989842	1.27932150495483
GBM	0.0531108312572578	1.05454651535893	0.0913143095661803	0.58162659838944	0.560818222839234	0.881736582600845	1.26122514932455
HNSC	-0.0161961899261174	0.983934263127605	0.0811142485676006	-0.199671330402814	0.84173763725515	0.839308285729437	1.15348156406566
KICH	0.741914650747987	2.09995234317985	0.248745380414031	2.98262685125282	0.00285786191204645	1.28966521806939	3.41933688048742
KIRC	0.424590300953833	1.52896387628329	0.0708238891175634	5.99501532948915	2.03466248244263e-09	1.33079702416973	1.75663943675988
KIRP	0.720009484919271	2.05445269686945	0.122626924113108	5.87154485139946	4.3175274961646e-09	1.61553331815748	2.61262075887607
LIHC	0.200466722340266	1.22197294716349	0.064808050170664	3.09323798220069	0.00197985297652365	1.07620964282137	1.38747863258763
LUAD	0.227304340880667	1.25521182208656	0.0595431491668163	3.81747260703075	0.000134825751272483	1.11695017498119	1.41058818342759
LUSC	0.0323455714431768	1.03287437552806	0.0742513571864026	0.435622629253438	0.663110549584954	0.892985965418887	1.19467664323486
PAAD	0.219668201162672	1.24566335235995	0.0862508697764721	2.54685201125466	0.0108699519412124	1.05192266869182	1.4750867469586
PCPG	0.569548753835403	1.76746930771173	0.463038773832844	1.23002389005334	0.218688158854569	0.713202015984316	4.38017235466096
PRAD	0.601955033257417	1.8256845877249	0.295874480753546	2.03449459961647	0.0419017525443163	1.02229664303315	3.26042762301056
READ	-0.174336504817156	0.840014181274908	0.226022856398137	-0.771322456477871	0.44051582487635	0.539380962340338	1.30821047461761
SARC	0.153813143174262	1.16627294035711	0.0832828562606713	1.84687641707237	0.0647650533602536	0.990625957231703	1.37306372953345
STAD	-0.139007390581795	0.870221596990593	0.0715635690223845	-1.94243233646319	0.0520847838383656	0.756336112409329	1.00125541468132
THCA	-0.337188088444359	0.713774574526887	0.244944688445864	-1.37658869267084	0.168639448776188	0.441635297622753	1.15360829621964
THYM	-0.38939642659532	0.677465651372082	0.17133224889431	-2.27275617467397	0.0230408773799303	0.484227004906489	0.947819316433274
UCEC	0.0698318013565476	1.07232780200324	0.102183897921408	0.683393399322628	0.494358289820851	0.877704801922769	1.31010666961153
