	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.290555098006505	1.33716954219725	0.139798492615017	2.07838505674484	0.0376739079395269	1.01669288219881	1.75866519367486
BRCA	0.200655858722712	1.2222040885641	0.118929890711722	1.68717769369762	0.0915691892193402	0.968078167169553	1.5430394825144
CESC	-0.153669166283466	0.857555682420041	0.214044602369102	-0.717930583544813	0.472800089273152	0.563724919406757	1.30454007466055
CHOL	0.0838548269409994	1.08747101085571	0.484918350458031	0.172925662354898	0.862709859878436	0.420391997585608	2.81307257569933
COAD	-0.0809494575854618	0.922240302518354	0.128110686779778	-0.631871232761507	0.527471022413619	0.717457339894849	1.18547421330138
ESCA	0.513489943376074	1.67111312010639	0.309930183393521	1.65679230642758	0.0975614730096004	0.910317304670513	3.06774247382069
GBM	-0.0408410064497793	0.959981748721153	0.157996517286552	-0.258493080424726	0.796026388535161	0.704329853949353	1.30842807913122
HNSC	0.230041989281386	1.25865285874898	0.118861522343564	1.93537811686829	0.0529439126537879	0.997081952142611	1.58884333974024
KICH	-0.288341646670769	0.749505482439204	0.865200579892059	-0.333265665063172	0.738933754679916	0.137503814194707	4.0854028049794
KIRC	0.328225435419656	1.38850195453026	0.131631563643243	2.49351619273653	0.0126484814915639	1.07275736612829	1.79717962197967
KIRP	0.247912581828474	1.28134791420614	0.295238943064573	0.839701494847349	0.401075775647573	0.718388253237624	2.28546676513841
LIHC	0.192673907120011	1.21248734555578	0.133638392601713	1.44175564647985	0.149371319285228	0.933091017473031	1.57554358106913
LUAD	0.0581239193592573	1.05984632305038	0.115944345742573	0.501308787306523	0.616153821918314	0.844405185054733	1.33025501070391
LUSC	0.0254898409391789	1.02581748487529	0.133931640108732	0.190319784917776	0.849058550866702	0.788982332966566	1.33374534296506
PAAD	0.109747830333642	1.1159966144791	0.241539831705376	0.454367420722183	0.649564397262666	0.695126426977454	1.79168622453943
PCPG	0.784082493186133	2.1903963149488	1.09953868797555	0.71310132309193	0.475783060840666	0.253859647177424	18.8995615092305
PRAD	0.178539292240648	1.19546985503989	0.676576024921464	0.263886519273828	0.791867363629577	0.317421305073118	4.50237004091422
READ	-0.190573544431685	0.826484972126291	0.303141732085293	-0.628661527796722	0.529570670085155	0.456247240861783	1.49716501925659
SARC	0.280900361023203	1.32432164330767	0.148027241465858	1.89762612774211	0.0577453500699274	0.990814743596381	1.77008651341543
STAD	0.0588777597305307	1.06064557921398	0.139325280890416	0.422592076285424	0.672592908760357	0.807191150708553	1.39368357014154
THCA	-0.879599293191737	0.414949151322697	0.635028104019751	-1.38513443361615	0.166011364675008	0.119524787033983	1.44056143044599
THYM	0.065388826447198	1.06757404471645	0.531470470046832	0.123033790459583	0.902080340312924	0.376712058583374	3.02542569313587
UCEC	0.236611270678818	1.26694852199935	0.160958839249014	1.4700110399825	0.141558763981573	0.924167213018547	1.73687027064454
