	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0407557795830508	1.04159769505725	0.140850174146322	0.289355549824964	0.772309306805705	0.790329375847793	1.37275140150872
BRCA	0.347083157960297	1.41493438353554	0.155344251428967	2.23428388735069	0.0254643998289466	1.04353503340737	1.91851662437629
CESC	0.145332969211239	1.15642455994319	0.273821199737629	0.530758645972242	0.595586040431913	0.676145681839088	1.97785447538814
CHOL	0.5080487669364	1.6620449917852	0.518146510473576	0.980511798626326	0.326833548495114	0.601998857023659	4.58870232474493
COAD	-0.320447763491125	0.725823966828498	0.235239208143058	-1.36222089004929	0.173128185049673	0.457715192285135	1.15097868653325
ESCA	0.40955368263501	1.5061454162256	0.268148796531803	1.52733738853993	0.126677136861958	0.89046783143537	2.54750810162425
GBM	-0.0609965829994124	0.940826454575065	0.190907582811351	-0.319508434925225	0.74934099618575	0.647155567072562	1.36776142038355
HNSC	0.510832921971354	1.66667883038666	0.161112382404588	3.17066208287172	0.0015209195652633	1.21538202956366	2.28555158467854
KICH	0.14240883694336	1.15304796078935	0.711222835293516	0.200230968237386	0.841299948411933	0.286057538390199	4.64773488355664
KIRC	0.567648295999758	1.7641134966154	0.135474503206645	4.19007475623586	2.78862566115333e-05	1.35272780338159	2.30060801675021
KIRP	0.759489294435688	2.1371844697383	0.303262883174914	2.50439251412655	0.0122661869267159	1.17951692087392	3.87239672179219
LIHC	0.588832959823505	1.80188431646196	0.16922259705261	3.47963552196543	0.000502096352127587	1.29325560538257	2.5105532706747
LUAD	0.264348558907763	1.30258214379189	0.117939043075716	2.24139989619937	0.0250001832400906	1.03374929162562	1.64132663022899
LUSC	-0.0191687569176687	0.981013795408621	0.12264526833193	-0.15629430452865	0.875801045499148	0.771399357798587	1.24758733210316
PAAD	0.699846911320569	2.01344444832388	0.232755329662237	3.00679220680425	0.002640201689879	1.27590387367308	3.17732286117739
PCPG	0.605034989366479	1.8313162843614	1.24915838552764	0.484354103031468	0.628134585352163	0.158298868925413	21.1859968181291
PRAD	0.557772650932612	1.74677748092943	1.02747564452906	0.542857296815309	0.587228059751097	0.233157145781955	13.0865882649621
READ	0.189808996216973	1.20901864846626	0.501556314110457	0.378440049256706	0.705103721499175	0.452384265386326	3.23116033023585
SARC	0.159133105503666	1.17249400169924	0.186633245089112	0.852651441749753	0.393852626389254	0.813295039389844	1.69033636926159
STAD	-0.0996613430741373	0.905143899387444	0.164048514415462	-0.60751140252169	0.543511577795054	0.656265055880261	1.24840637370122
THCA	-1.14084461534474	0.319549011806288	1.02989662267933	-1.10772730992823	0.267979601213201	0.0424509960002904	2.40539870832893
THYM	0.732909558304979	2.0811269675425	0.923327618996264	0.793769777082716	0.427329470252408	0.34069101703702	12.7126611458676
UCEC	0.192294646366685	1.212027583882	0.234763290968526	0.819100147954841	0.412729277508086	0.76503557052083	1.92018635563669
