	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.116012557784945	1.12300997456246	0.0686560347144032	1.68976490220468	0.0910729409827434	0.981620209397491	1.28476511678672
BRCA	0.0774261004331348	1.08050238085015	0.063124823755406	1.22655551060456	0.219989699371079	0.954759043643551	1.22280632249106
CESC	0.15132058695138	1.16336955940536	0.179901559026365	0.841129936673887	0.400275145716134	0.817683456715503	1.65519886777153
CHOL	0.309913638958137	1.36330737240304	0.229294954335465	1.35159380133906	0.176505294371202	0.869796316789658	2.13683014721014
COAD	-0.260776667621745	0.770452967495997	0.148559885001429	-1.75536395723003	0.0791970730326985	0.575826607775441	1.03086201142493
ESCA	0.136900874534821	1.1467144742808	0.159166158226702	0.860112954035316	0.389726781141402	0.839407441259865	1.56652660065947
GBM	0.144574513454834	1.15554779561436	0.094915407606478	1.52319330549835	0.12771035046784	0.959391291452872	1.39181032790811
HNSC	0.0252978097378419	1.02562051482412	0.0874566802361727	0.289261033800121	0.772381628807713	0.864059079268781	1.2173906456932
KICH	1.12161338117173	3.06980297241068	0.263185064701872	4.26169084648576	2.02885985460187e-05	1.83268138672694	5.14202324401384
KIRC	0.389628313690445	1.47643192235242	0.0672013606240598	5.79792298953763	6.71412690729991e-09	1.29423018564406	1.68428402112757
KIRP	0.690244333795265	1.99420272484226	0.0969262480643668	7.12133552654269	1.06886232583934e-12	1.64917040798037	2.41142121428099
LIHC	0.2500004436246	1.28402598631313	0.0683178502498922	3.65937222424522	0.000252833871211557	1.12310808482927	1.46800005787335
LUAD	0.252903576641242	1.28775910079022	0.0582935615662633	4.33844784648751	1.43492525844327e-05	1.14872231632363	1.44362434515535
LUSC	-0.125267752347414	0.882260643598203	0.0778742207830737	-1.60859076454017	0.107705855000019	0.757373751324914	1.027740718345
PAAD	0.426440045773603	1.5317946866243	0.105868138829117	4.0280300616404	5.62461531810227e-05	1.24475946015847	1.88501878240131
PCPG	0.460389971629098	1.58469184937398	0.32672382873066	1.40911048152728	0.158802502007603	0.835289451602715	3.00644076452044
PRAD	0.49387444261196	1.63865280291098	0.277439775226705	1.7801140525305	0.07505729726177	0.951326907005327	2.82256602721421
READ	-0.194549623653084	0.823205326787379	0.30075972995416	-0.646860614227627	0.517722158381483	0.456563328512799	1.48427823202213
SARC	0.19115317502872	1.21064487844362	0.0812307367437299	2.35321237614498	0.0186120005489921	1.03245953786156	1.41958204457819
STAD	-0.0767116692439419	0.926156854618464	0.0781651169300441	-0.981405417874535	0.326392855472972	0.794603140525596	1.07949047217381
THCA	-0.0994580712134927	0.905327908373315	0.218561426400596	-0.455057751275828	0.64906769170571	0.589883278108551	1.38945898637387
THYM	-0.382953926600291	0.681844313447899	0.155791772206712	-2.45811393744318	0.0139668854763679	0.502429378505533	0.925327394596447
UCEC	0.139343586138915	1.1495189909519	0.0931743877116583	1.49551383766678	0.134780391262682	0.957648136583421	1.3798323831897
