	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.00314224549445761	0.996862686192041	0.033450293357883	-0.093937755966409	0.925158601505807	0.933603344405404	1.06440837115349
BRCA	-0.0391307181283151	0.961624999110231	0.0317427165078654	-1.23274635674672	0.217670410707633	0.903620959365339	1.02335235734598
CESC	-0.191883183231159	0.825403283804715	0.0394859967002002	-4.85952487632624	1.17667797146091e-06	0.76393366870066	0.891819026741397
CHOL	-0.0420073212971754	0.958862760427567	0.0919544624720008	-0.456827435753498	0.647795084149782	0.800727366747037	1.14822826284796
COAD	0.0192982631046373	1.01948567823827	0.0372248720036598	0.518423894183975	0.604162547074911	0.947753202674476	1.09664736051536
ESCA	-0.052321337740798	0.949023860657168	0.0528282775909065	-0.990404005710084	0.321976688317904	0.855676530502177	1.05255462314488
GBM	0.0177344652357687	1.01789265461541	0.0289466031699979	0.612661358972505	0.540100277570683	0.961750868362094	1.07731169308383
HNSC	-0.0712974512915667	0.931184868787251	0.0300644745193607	-2.37148503113378	0.0177167643151148	0.877899866986166	0.987704056540191
KICH	-0.333856826702485	0.716156309347806	0.17206690890897	-1.94027328566185	0.0523464861851383	0.511145102533744	1.00339386384869
KIRC	-0.204049867579317	0.815421707066736	0.0518460703179601	-3.93568627917075	8.29592867834465e-05	0.736632394044325	0.90263823004724
KIRP	-0.0499505407560367	0.951276472752361	0.105457531517345	-0.473655508879619	0.635745584943215	0.773643965257944	1.16969428865183
LIHC	-0.153423073046213	0.857766747043775	0.0403908989948172	-3.7984565054098	0.000145599972670317	0.792480182082571	0.928431787909869
LUAD	-0.0959966072582446	0.908467098257735	0.0490756382808133	-1.95609493062418	0.0504539722289747	0.82515577622337	1.00018989431811
LUSC	0.0593208951976615	1.06111569304254	0.0430545733006859	1.37780706322124	0.16826286469863	0.975246989167936	1.15454497837703
PAAD	-0.126140261947862	0.881491198439524	0.0677055419227809	-1.8630714468208	0.0624522148387273	0.771945995306645	1.00658172676663
PCPG	-0.563262135145357	0.569348738652115	0.332283778888971	-1.69512377952571	0.0900519420919033	0.296850577032683	1.09199041970892
PRAD	-0.562848854879799	0.569584087879266	0.274629828744438	-2.04948186966089	0.0404150189211702	0.332500661870813	0.975715450729856
READ	-0.0566979651814956	0.944879412754475	0.116683138350775	-0.485913954517141	0.627028174099169	0.751718985811346	1.18767401316015
SARC	-0.0721985219456925	0.930346183342588	0.0273107712337015	-2.64359147267872	0.00820315972502181	0.881855869182791	0.981502818212474
STAD	0.111393709105948	1.11783492201753	0.0453695735326251	2.4552514038036	0.0140786090685555	1.02272535320908	1.22178931905924
THCA	-0.0689218916103961	0.933399583569307	0.18588292661563	-0.370781183970237	0.710800517017959	0.648401138593139	1.34366633670278
THYM	0.22321069426707	1.25008393150875	0.214790224075341	1.03920322830323	0.298710229393918	0.820558224171484	1.90444722846357
UCEC	-0.0755941403944627	0.927192440163229	0.052541232971666	-1.4387584020959	0.15021898597867	0.836462938712334	1.02776319345273
