	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0621659258449578	1.06413889822608	0.0319394899030803	1.94636564433555	0.0516108333925455	0.999565770255376	1.13288352644218
BRCA	0.0310425562656011	1.03152940099163	0.0473263858425689	0.655924928830697	0.511872427615112	0.940150363345833	1.13179013336056
CESC	0.181995550018562	1.19960885563085	0.0610467995510287	2.98124637748508	0.0028707772851739	1.06433056230527	1.3520812588441
CHOL	0.079560914823111	1.08281151679254	0.0837465611455075	0.950020081241018	0.342102049072	0.918898757302656	1.27596296281896
COAD	0.0692628273747737	1.07171784892413	0.0420539453021302	1.6469995116312	0.0995581462150997	0.986924841551774	1.16379596433769
ESCA	0.0759470760356443	1.0789054726915	0.0518448630355095	1.46489105359632	0.142950644049244	0.974659608627192	1.19430107567832
GBM	0.109330640926804	1.1155311296179	0.0622684987018033	1.75579375135373	0.0791236317348414	0.987367099646759	1.2603313413945
HNSC	0.0548058079174058	1.05633546277327	0.028524088839505	1.92138680487846	0.0546829608135996	0.998900226295015	1.11707313757566
KICH	0.00455954572788264	1.00456995627294	0.149327902690727	0.0305337826737306	0.975641351256804	0.749673301439506	1.34613410282646
KIRC	0.058189924617973	1.0599162807899	0.0623701294143552	0.932977455143455	0.350831608749367	0.93795502138078	1.19773602856743
KIRP	0.0114941982196738	1.01156051034071	0.117726569518226	0.097634699343671	0.922222370035286	0.803124415999076	1.27409233948869
LIHC	0.113684055641559	1.1203980855044	0.0257706563096884	4.41137603464218	1.02715755343636e-05	1.065212699879	1.17844245580673
LUAD	0.0432179179228172	1.04416541241739	0.0354856351085901	1.2178989551847	0.223262373315566	0.974011032055022	1.11937275103387
LUSC	0.0533201438032992	1.05476726827735	0.0344039713984457	1.54982525667685	0.121183463227576	0.985988684055202	1.12834356846126
PAAD	0.164925541655023	1.17930530632092	0.0576966273800288	2.85849536002707	0.00425655333805311	1.05320956449041	1.32049788798641
PCPG	-0.0110979790451373	0.988963376340953	0.143783979333282	-0.077185087633532	0.938476304598798	0.746089733296264	1.31089936785837
PRAD	0.164901700271116	1.17927719038553	0.231210852692884	0.71320916968441	0.4757163329363	0.749564248093073	1.855337544849
READ	0.0974774446963301	1.10238657661891	0.0961422887143495	1.01388729142852	0.310636536144931	0.9130560780106	1.33097647951417
SARC	0.0407690185396687	1.04161148481522	0.0390116731321122	1.04504665569214	0.296001406785274	0.964937008657879	1.12437856105035
STAD	0.0462194208966284	1.04730418617085	0.0398892751241562	1.15869292567412	0.246581375461799	0.968543268141244	1.13246985906573
THCA	0.0985513985774089	1.10357112492259	0.132763536227773	0.742307725280314	0.457900912290032	0.850730105198787	1.43155769417416
THYM	0.0852127427009993	1.08894870794691	0.144684520167375	0.588955491592487	0.555891131207169	0.820071533996595	1.44598274587125
UCEC	0.0204803257038759	1.02069148665909	0.0621251004639539	0.32966265729838	0.741654872904113	0.903677587011311	1.15285708743079
