	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0085890760071867	0.99144770472664	0.0287789910456176	-0.298449518038077	0.765360100103706	0.937072278072387	1.04897837040889
BRCA	-0.00648436080038356	0.993536617299431	0.0309860765096301	-0.209266920204251	0.834239873898774	0.934993263266979	1.05574558523095
CESC	0.0738622483656025	1.07665848381484	0.0700043459960886	1.05510946948536	0.291375261644083	0.93862076870125	1.23499663487569
CHOL	0.125027961283007	1.13318013779438	0.0940148915082554	1.3298740154588	0.183559784093202	0.94248258236166	1.3624625523307
COAD	0.148928088298167	1.16058952624018	0.0689161594257861	2.16100388557699	0.0306950392685734	1.0139513217681	1.32843462945498
ESCA	0.0540767736752097	1.05556563869781	0.0710680069437872	0.760915860747057	0.446707324425615	0.91831578017983	1.2133286192483
GBM	0.0691289915457092	1.07157442427519	0.0347618982067284	1.98864259755322	0.0467406660655333	1.00099742011921	1.14712757863448
HNSC	-0.0437600720138633	0.957183585054829	0.0274400564935156	-1.59475152772387	0.110767810346836	0.907064611894904	1.01007183334429
KICH	0.0606861988250568	1.06256542758606	0.0537301038143912	1.12946364359718	0.258702298061237	0.95635808559935	1.18056751430461
KIRC	0.0560863842353139	1.05768904744993	0.0190862296850649	2.93857850192392	0.00329721145648807	1.01885358756781	1.09800479160709
KIRP	0.112626238959544	1.11921353634744	0.0295343776854055	3.81339468734426	0.000137070948433923	1.05626586784722	1.18591254159936
LIHC	0.0181652079510261	1.0183311989044	0.022367615111495	0.812120910543153	0.416722255664714	0.974652275520375	1.06396758793633
LUAD	0.043993471118581	1.04497553234484	0.0318187387138078	1.38262775009023	0.166779035710953	0.981797591219699	1.1122189267574
LUSC	-0.0470886523080421	0.954002819289587	0.0313029741750656	-1.50428684650517	0.132507524405136	0.897231512044013	1.01436626667191
PAAD	0.0216449575276095	1.02188090893174	0.0281178096731334	0.769795292707004	0.441421332473973	0.9670888199083	1.07977733848498
PCPG	0.0931512495863381	1.0976277384552	0.0887537588722002	1.04954709265294	0.293926392885785	0.922375454092592	1.30617813698384
PRAD	0.395163911941269	1.48462751915689	0.196878480692964	2.00714628917487	0.0447340886742773	1.0093324587918	2.18373921440746
READ	0.0200645295713588	1.02026717530607	0.162132376380918	0.123753996698467	0.901510057036549	0.742517314887681	1.40191358253306
SARC	0.0606848335572701	1.0625639769007	0.0188941812119871	3.21182658705367	0.00131893963133734	1.0239348677325	1.10265041321163
STAD	0.00286793736968732	1.00287205383638	0.0431069905147939	0.066530679489283	0.946955333110976	0.921621913622304	1.09128520220731
THCA	0.203359368382313	1.22551279967449	0.0556390286261266	3.65497697216844	0.000257205063256954	1.09889911722055	1.3667147408078
THYM	-0.467561372518742	0.626528275915807	0.190481535986421	-2.45462831920924	0.0141030320893312	0.431322882174524	0.910078497442672
UCEC	0.0125978584341393	1.01267754573087	0.0485962742619372	0.259235067409407	0.79545387577497	0.920674165323664	1.11387486502021
