	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0908179643251568	1.09506964537181	0.0406351726010119	2.23495948243851	0.0254200088798241	1.01123715733906	1.18585192356878
BRCA	0.0367887376411993	1.03747381851828	0.0457435475128768	0.804238841135863	0.421259050948525	0.948506185755809	1.13478640442731
CESC	0.233259970602156	1.26270970406313	0.0612294444353089	3.80960455796073	0.000139189234904068	1.11991463619086	1.42371190196989
CHOL	0.131398541279681	1.14042219607586	0.189161994161035	0.694634997175067	0.487284074059552	0.787137639481996	1.65226857422084
COAD	-0.0573140711573081	0.9442974461968	0.0743114967046906	-0.771267888535078	0.440548161715385	0.816309319088322	1.09235267323626
ESCA	0.0995923442275486	1.10472048058931	0.0900608569891155	1.10583385009966	0.268798440707093	0.925960509208972	1.31799070057106
GBM	0.0325582414315357	1.03309406026883	0.0838765944681094	0.388168375671412	0.6978914344761	0.87648397049459	1.21768722907787
HNSC	0.0782304443840611	1.08137182602376	0.0487599921093171	1.6043982166501	0.108626303864662	0.982812043598315	1.18981552346126
KICH	-0.176242678806529	0.838414493218112	0.108747058003138	-1.62066617748357	0.105089251092558	0.677474750256171	1.03758680625718
KIRC	0.229954062230123	1.25854219397983	0.0385473900885109	5.96548979586197	2.4390129144378e-09	1.16696057083357	1.35731102970871
KIRP	-0.0850620003759464	0.918455338059879	0.0815997592098817	-1.04242955125835	0.297212571641012	0.782708773017952	1.07774466965293
LIHC	0.0306265387527205	1.03110035594708	0.0264465102649371	1.15805595694511	0.246841201817009	0.979015632374172	1.085956044906
LUAD	0.118762877425986	1.1261028622178	0.046496035573876	2.5542581417998	0.010641433018763	1.02801763574244	1.23354659706717
LUSC	0.0660386824717689	1.06826803961505	0.0402356657248183	1.6412971248798	0.100735752639316	0.987260075502874	1.15592297590044
PAAD	0.0492985975964429	1.05053399083625	0.0995414899309901	0.495256778159746	0.620418876343103	0.864331297377672	1.27685028790542
PCPG	0.181029873768832	1.19845098100599	0.447930538643007	0.40414720174529	0.686104476579784	0.498128177993127	2.88336379536041
PRAD	0.379705315713541	1.46185374062869	0.224277680737928	1.69301427794428	0.0904527495021479	0.941886159902574	2.2688690522973
READ	-0.00811738841417747	0.991915468618617	0.143593618188567	-0.0565302867674644	0.954919368743347	0.748596088603849	1.31432198466316
SARC	0.0929595435645292	1.09741733677632	0.0564823584073115	1.64581554640778	0.0998017405584166	0.982412650361344	1.22588487700586
STAD	0.111403139791895	1.11784546401733	0.0576949938987954	1.930897852027	0.0534956858818097	0.99832443499108	1.2516757455058
THCA	0.0418505105056154	1.0427385886347	0.111672397362398	0.374761458463211	0.707837880358962	0.837760208860905	1.29786990683918
THYM	0.100062814189767	1.10524034067176	0.116880047055183	0.856115450933417	0.391933923042761	0.878958259695882	1.38977727005021
UCEC	0.0607773183967518	1.06266225250397	0.0563241202572321	1.0790637850921	0.280559294005156	0.951594834524634	1.18669314074296
