	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.261747492994728	1.29919844429916	0.188114474819783	1.39142664723428	0.164096088779471	0.898570508183383	1.87844646835982
BRCA	0.252841834687541	1.28767959448191	0.177380816644355	1.425418145382	0.154036365934772	0.909538293976019	1.82303345447575
CESC	0.627164801832231	1.87229472050763	0.323414870248155	1.93919593539718	0.0524774843675157	0.993305810665033	3.52911206478673
CHOL	0.500221685775209	1.64908680926898	0.710157194064344	0.704381635440965	0.481195139507787	0.409974286152029	6.63331188409336
COAD	-0.116960275150273	0.88962053250345	0.173524010742921	-0.674029344120865	0.500292657957441	0.633141662372384	1.24999623131141
ESCA	0.375775815040877	1.45612065682691	0.305553720146926	1.22981914558325	0.21876483708898	0.800036064432783	2.65023973480659
GBM	-0.513818772210203	0.598206795935218	0.299256355205971	-1.71698533137769	0.0859818521783554	0.332754449279338	1.0754217456088
HNSC	0.175188662989558	1.19147098188666	0.187923989892209	0.93223150003384	0.351216899602649	0.824370191006239	1.72204564910963
KICH	1.01835765075958	2.76864394768792	0.962795041734785	1.05770969585041	0.290187813507426	0.419502432075308	18.2725741806733
KIRC	0.510791822136061	1.6666103315689	0.205727589612282	2.48285523151615	0.0130334043804719	1.11357232211857	2.49430588577115
KIRP	0.593970044313677	1.81116456473837	0.370298191948172	1.60403171613868	0.108707061760911	0.876515338161797	3.74245257070264
LIHC	0.513804166454276	1.67163830492328	0.206076535202721	2.49326865840809	0.0126573035483618	1.11616821110564	2.50354256167069
LUAD	0.219475959351806	1.24542390679783	0.155373853643565	1.41256687792075	0.157783113656312	0.918465259678733	1.68877449775956
LUSC	-0.161551312085344	0.850822872849411	0.148896050773733	-1.08499393533844	0.277924341335183	0.63547520283564	1.13914682702569
PAAD	1.18086507200062	3.25719068894809	0.406541492858806	2.90466063795052	0.00367651488378981	1.46823116593208	7.22589972910364
PCPG	2.80908615090396	16.5947461935639	1.59851988212516	1.7573044804231	0.0788659245267589	0.723282610987979	380.744119995688
PRAD	1.16991959099894	3.22173357173481	0.73413342375704	1.59360622080343	0.111024260297865	0.764177276512612	13.5826692657117
READ	-0.243902299050072	0.783564185488489	0.417173297806617	-0.584654627543142	0.558779968202229	0.345920278973678	1.77489690573173
SARC	0.549788158027323	1.73288588101781	0.223497534800182	2.45992940601722	0.0138964346878898	1.11822324714449	2.68541499588664
STAD	-0.115812589766338	0.890642123106018	0.188238185950229	-0.615244931211567	0.538392979112973	0.615849505380705	1.28804746049188
THCA	0.177114919430091	1.19376827241423	0.88443794054314	0.200257034791297	0.841279563136445	0.210904133870781	6.75701638497041
THYM	-1.43893230853716	0.237180859520135	1.20463437545269	-1.194497133619	0.232283561291685	0.0223713915583202	2.5145847533024
UCEC	0.550686722195807	1.7344436899694	0.193090588672097	2.85196045018524	0.00434505063501045	1.18795830395657	2.53232365450485
