,idx,beta,pval,cilb,ciub,i2,tau2
KMT5C,22399,0.900416495632517,3.91306737819168e-42,0.77066905975069,1.03016393151434,88.4391195245805,0.0797276712887232
NPY5R,29923,-4.75404940278824,3.27350483550312e-38,-5.47498670407259,-4.03311210150389,95.5662570259216,2.64970159768095
ADH1B,7205,-5.87907530032069,3.24975884899928e-32,-6.85430848500393,-4.90384211563745,98.535082362994,5.32154920505036
PSMD13,11349,0.311140473653844,1.22069771266176e-30,0.258143134733194,0.364137812574494,71.970057348327,0.00990421706790871
PKMYT1,110,2.76921349380575,1.10269786567984e-29,2.28954649902054,3.24888048859096,96.1556344103586,1.1944206800276
PRKAR2B,5112,-1.86915920637759,2.57041095513262e-26,-2.21432119430445,-1.52399721845074,97.0884686413335,0.634221029690321
SLC5A7,24533,-5.20811751613375,1.53333116508172e-25,-6.18533595484389,-4.23089907742362,96.2060128549748,5.17695144098176
SLC52A2,25836,1.05347991915217,2.38338614451853e-25,0.855014875236079,1.25194496306826,95.9243684628328,0.211246843696678
CDKN3,16616,2.19717084831839,1.58687978641578e-24,1.77586960703447,2.61847208960232,96.584513986574,0.9422372359103
NPY1R,26543,-2.73029416004783,3.49514241902442e-24,-3.25778423060181,-2.20280408949385,96.8839103103588,1.42992061887934
NCOA1,27872,-0.55007827632588,4.99565887258288e-24,-0.656720090829257,-0.443436461822503,93.0179695527095,0.0580573038082593
TPX2,4203,2.62864973837321,1.33758325545784e-23,2.11410815951264,3.14319131723378,97.5150718782902,1.42570257976733
PTGDS,23177,-2.51190837016631,1.95750641443812e-23,-3.0054584664495,-2.01835827388311,96.311355356503,1.30397466155224
BUB1,20969,2.65715167772868,2.22421207266902e-22,2.12196230164265,3.19234105381471,97.7219939965908,1.57491428867587
CDC25C,10489,2.87765095559262,1.03909522423064e-21,2.28848053141085,3.46682137977439,97.2203900177758,1.82486712148674
IBSP,15627,5.75261149167315,1.3711184234293e-21,4.57127974544069,6.93394323790561,92.0712519134243,6.85144959241238
RNASEH2A,7708,1.31810311819299,3.40097766910466e-21,1.04471248807461,1.59149374831138,97.7656699071332,0.405985793168385
C7,17542,-4.3459801420586,6.67916750358652e-21,-5.25420466610055,-3.43775561801665,98.3254543582606,4.66804584691284
PLK1,6242,2.39944317628019,7.56206478598466e-21,1.89730523781041,2.90158111474997,97.9925582477488,1.38313343221213
FANCA,4815,1.60661323754504,9.39048808816029e-21,1.26956904192511,1.94365743316496,96.9026447514084,0.617355536431212
CCNA2,12183,2.19141974880241,3.99598392486834e-20,1.72395931137935,2.65888018622547,97.2273752992072,1.17755175199962
TGFBR3,25130,-2.04016453028999,4.18658522084024e-20,-2.47559775984433,-1.60473130073564,98.0896307874334,1.04675103561333
NR4A3,17651,-2.11639050456782,1.13454296627578e-19,-2.5734650320424,-1.65931597709325,90.5981389109716,1.00766178595766
MMP11,1224,3.01815020637943,2.24937815017317e-19,2.36090398740027,3.67539642535859,98.2739155089666,2.38071510157154
AMH,17118,1.99743839713024,2.5940529685527e-19,1.56170868935979,2.43316810490069,91.0756071766774,0.989787907912892
BIRC5,27230,2.8758468966213,2.63397348891152e-19,2.24838012314884,3.50331367009376,97.479743351399,2.11241750247446
E2F1,28609,2.0352725178298,3.87215178905662e-19,1.58909662228033,2.48144841337928,98.0067804911249,1.07252255921978
NEK2,1087,2.84645485181449,4.63318582396444e-19,2.22106174672996,3.47184795689901,97.3825774353817,2.11795537155562
H2AFX,13301,1.08704911121882,4.83331179913396e-19,0.848088646706733,1.3260095757309,95.5566641989685,0.28943677058076
MELK,14974,3.00237362688148,7.52938681195864e-19,2.33871144728049,3.66603580648247,98.2395150281125,2.42490489416229
HSF1,17937,0.463645847028515,7.91562338749272e-19,0.361094392554663,0.566197301502367,93.297208102921,0.0534521391295061
NPR3,1577,-1.39620102336172,8.50073212103359e-19,-1.70529698994741,-1.08710505677602,87.2785487891576,0.410242630941993
ADRA1A,17637,-4.10953648783787,9.51438716275233e-19,-5.02061459780514,-3.19845837787061,97.6604449228935,4.40076523730936
RORB,20647,-2.30488420140253,1.69609880691843e-18,-2.81964770837021,-1.79012069443485,95.5107848325043,1.36984736153464
CENPE,997,1.93892461404678,2.54849821213949e-18,1.50361457317993,2.37423465491363,97.6550791387079,1.03801604141552
AURKA,15184,1.96705226751278,2.70879158156758e-18,1.52507784368337,2.40902669134219,98.5250197485053,1.07837531156325
CNTFR,1945,-3.27517738273699,3.54953771895327e-18,-4.01366748537203,-2.53668728010194,97.1985732764861,2.87934356135192
MKI67,10305,2.67876228210207,3.66082888056089e-18,2.07450862579496,3.28301593840917,97.2285996705443,1.99041075135309
FOXM1,15179,2.62576537454203,3.71637308541796e-18,2.03334966585873,3.21818108322534,98.4477696235964,1.95278535595669
NOS1,28369,-3.16360147013916,9.34061729163942e-18,-3.88612477486548,-2.44107816541284,96.445651847563,2.81696569201789
PDK4,19464,-2.85379320790319,9.38138026818789e-18,-3.50559858032103,-2.20198783548536,97.5254504624129,2.28236146353026
TAC1,30232,-3.93976054039411,1.40304343086756e-17,-4.84449397331749,-3.03502710747073,94.1227233577336,4.24188712796976
POLD1,9647,0.899813242361966,1.4348887453204e-17,0.693115718076978,1.10651076664695,96.8345484191482,0.22447446868054
MPL,2577,-1.03732734902829,1.61453764218766e-17,-1.27599537316708,-0.798659324889494,89.7061663471761,0.241270531612098
PTH1R,12140,-2.54607601891554,3.05293943912964e-17,-3.13701742718039,-1.95513461065069,98.3448343208087,1.87309581224405
ALDH1A2,21666,-2.27805891760168,4.11025347032078e-17,-2.80898250234712,-1.74713533285625,97.6330489580762,1.54431853932759
LIMK1,4082,0.967684135759742,4.29445360097673e-17,0.742017995506556,1.19335027601293,97.4398352843842,0.286512598669451
PDE2A,25896,-2.33186788583441,5.65331120204275e-17,-2.87776444651696,-1.78597132515185,98.5250224088221,1.61998811125192
PDK2,8302,-0.76611431954605,6.74675868626143e-17,-0.945911637359186,-0.586317001732915,95.2315380260598,0.167288487006707
ACACB,7126,-1.67182413351073,6.76213613586207e-17,-2.06419269352109,-1.27945557350036,97.8863995638629,0.839403976991593
LIG1,4826,0.94291969594136,8.53307510639991e-17,0.720889745084564,1.16494964679816,97.1359127189582,0.260346267781063
NME1,10542,1.17941962779375,9.27139941971379e-17,0.901372260746322,1.45746699484118,96.9836032723726,0.42302980292177
MYL3,25088,-2.66899838876269,1.83721088101477e-16,-3.30444280703523,-2.03355397049015,96.8008204704466,2.11755012174376
TOP2A,2712,2.88347588622268,2.18886138609945e-16,2.19521227616569,3.57173949627966,98.2625074802646,2.66121179461265
PSMA1,15509,0.360478230924919,2.26856822351729e-16,0.274389807700608,0.44656665414923,91.6029196264445,0.035499020771844
HMMR,15470,2.19316488874307,2.49733808467642e-16,1.6686612309555,2.71766854653064,97.4240852402738,1.51507071447538
PPP1R1A,13962,-3.62154366327946,3.02454011096477e-16,-4.49009434157263,-2.7529929849863,98.000532149002,4.04983064578031
BRCA2,1303,1.44056064572077,4.01718745133764e-16,1.09361641820397,1.78750487323757,96.9700094468359,0.646775561368253
PPIA,2850,0.617692573725825,4.40102891122242e-16,0.468725235374067,0.766659912077583,96.3108251634777,0.115204557441296
ADH1A,3390,-4.11028383712549,5.73327431631169e-16,-5.10548493465499,-3.11508273959598,97.5937684677529,5.40992290816419
CCL21,7761,-3.03561343753222,6.85763807385672e-16,-3.77259758698558,-2.29862928807886,97.0689488334025,2.89733702683816
ELANE,24374,-3.64830125270359,7.13628988254693e-16,-4.53456715925052,-2.76203534615666,96.5365542678891,4.24589082388895
KAT2B,13169,-1.13517509204085,1.37086658058247e-15,-1.41370383135387,-0.856646352727829,98.2280595136428,0.437368424818387
BLM,10902,1.76733860648384,2.93716072736942e-15,1.32850928596651,2.20616792700117,97.9583144584075,1.06524751488504
TYMS,15289,1.50680816633609,3.13595511172031e-15,1.13228061273345,1.88133571993872,97.2063693482218,0.760369502993725
RAD51,17033,1.89496593246051,3.1825547291116e-15,1.42384903482944,2.36608283009159,98.4025178713356,1.22284965939822
