"","x"
"1","KMT5C"
"2","NPY5R"
"3","ADH1B"
"4","PSMD13"
"5","PKMYT1"
"6","PRKAR2B"
"7","SLC5A7"
"8","SLC52A2"
"9","CDKN3"
"10","NPY1R"
"11","NCOA1"
"12","TPX2"
"13","PTGDS"
"14","BUB1"
"15","CDC25C"
"16","IBSP"
"17","RNASEH2A"
"18","C7"
"19","PLK1"
"20","FANCA"
"21","CCNA2"
"22","TGFBR3"
"23","NR4A3"
"24","MMP11"
"25","AMH"
"26","BIRC5"
"27","E2F1"
"28","NEK2"
"29","H2AFX"
"30","MELK"
"31","HSF1"
"32","NPR3"
"33","ADRA1A"
"34","RORB"
"35","CENPE"
"36","AURKA"
"37","CNTFR"
"38","MKI67"
"39","FOXM1"
"40","NOS1"
"41","PDK4"
"42","TAC1"
"43","POLD1"
"44","MPL"
"45","PTH1R"
"46","ALDH1A2"
"47","LIMK1"
"48","PDE2A"
"49","PDK2"
"50","ACACB"
"51","LIG1"
"52","NME1"
"53","MYL3"
"54","TOP2A"
"55","PSMA1"
"56","HMMR"
"57","PPP1R1A"
"58","BRCA2"
"59","PPIA"
"60","ADH1A"
"61","CCL21"
"62","ELANE"
"63","KAT2B"
"64","BLM"
"65","TYMS"
"66","RAD51"
"67","BAX"
"68","SCN11A"
"69","ADH1C"
"70","PDE7B"
"71","CDKN2A"
"72","TUBB3"
"73","TTK"
"74","CXCL12"
"75","AURKB"
"76","POLA2"
"77","ATAD2"
"78","EZH2"
"79","CHEK1"
"80","PBK"
"81","GHR"
"82","SCN7A"
"83","DNMT1"
"84","PASK"
"85","PLK4"
"86","RARB"
"87","FOS"
"88","HIPK3"
"89","CES1"
"90","AOX1"
"91","KCND3"
"92","PALB2"
"93","MIF"
"94","SELP"
"95","RORA"
"96","RRM2"
"97","ELAVL1"
"98","CHRM2"
"99","MMP13"
"100","VIPR2"
"101","CRBN"
"102","GLP2R"
"103","DES"
"104","SUV39H1"
"105","TRPM3"
"106","AGTR1"
"107","PIK3R2"
"108","FUS"
"109","CDK1"
"110","ATP1B2"
"111","IRF3"
"112","CYP7B1"
"113","MUSK"
"114","CDK5"
"115","XRCC1"
"116","PSMB4"
"117","SMPD4"
"118","HDAC10"
"119","MAOB"
"120","DRD1"
"121","TEK"
"122","ALAD"
"123","SEM1"
"124","LEPR"
"125","AQP7"
"126","MMP9"
"127","FEN1"
"128","TYK2"
"129","GPR19"
"130","IL6ST"
"131","EPHX2"
"132","AOC3"
"133","CHRNA5"
"134","LAMA2"
"135","CPA1"
"136","ADAM12"
"137","TERT"
"138","NR3C2"
"139","GFRA1"
"140","CDK7"
"141","DUSP1"
"142","LRP1B"
"143","MAZ"
"144","DTYMK"
"145","KCNK3"
"146","MC1R"
"147","CDC7"
"148","MLST8"
"149","PYGM"
"150","DCN"
"151","HBB"
"152","CTSF"
"153","SIRT1"
"154","ILF3"
"155","IL5RA"
"156","GAPDH"
"157","GPR17"
"158","C6"
"159","CHRNA4"
"160","PTEN"
"161","TUBB"
"162","CCNE1"
"163","THRB"
"164","RTN4"
"165","NR4A1"
"166","ATF3"
"167","F8"
"168","ITPR1"
"169","KIF11"
"170","BRCA1"
"171","CASP2"
"172","PTGIS"
"173","SCN2B"
"174","MDK"
"175","CDKN1C"
"176","NTF3"
"177","TACR1"
"178","EED"
"179","WDR5"
"180","FNTA"
"181","KCNJ14"
"182","BHMT2"
"183","DKC1"
"184","CR1"
"185","PIK3C3"
"186","PGR"
"187","NTRK3"
"188","GRM3"
"189","PCNA"
"190","ABCB1"
"191","HIST3H2A"
"192","HBA2"
"193","CDC25B"
"194","SPP1"
"195","ADAM33"
"196","NCAM1"
"197","CRTC2"
"198","MAOA"
"199","KCNA4"
"200","PHKG2"
"201","IRAK1"
"202","EIF2AK1"
"203","PSMD14"
"204","SLC7A11"
"205","PIK3C2G"
"206","LHCGR"
"207","ACADM"
"208","CA4"
"209","ATP1A2"
"210","MAPK10"
"211","TP73"
"212","XPA"
"213","CMA1"
"214","RBL2"
"215","HRAS"
"216","APOD"
"217","PCSK2"
"218","CCR9"
"219","PTGES3"
"220","RIPK2"
"221","NMUR1"
"222","MYLK"
"223","ALDH2"
"224","KDM4E"
"225","ACADSB"
"226","POLE"
"227","GNG7"
"228","DDX43"
"229","BRD9"
"230","PSMA4"
"231","FNTB"
"232","CD276"
