	SNP	Chromosome	Position	trait1
1	ENSG00000069702	chr1	92145901	4.18658522084024e-20
2	ENSG00000069702	chr1	92146454	4.18658522084024e-20
3	ENSG00000069702	chr1	92147982	4.18658522084024e-20
4	ENSG00000069702	chr1	92147986	4.18658522084024e-20
5	ENSG00000069702	chr1	92148203	4.18658522084024e-20
6	ENSG00000069702	chr1	92149285	4.18658522084024e-20
7	ENSG00000069702	chr1	92262983	4.18658522084024e-20
8	ENSG00000067606	chr1	1981908	0.829815128488244
9	ENSG00000067606	chr1	2004900	0.829815128488244
10	ENSG00000067606	chr1	2005424	0.829815128488244
11	ENSG00000067606	chr1	2036154	0.829815128488244
12	ENSG00000067606	chr1	2075889	0.829815128488244
13	ENSG00000067606	chr1	2076825	0.829815128488244
14	ENSG00000133216	chr1	23037331	0.00182827952717737
15	ENSG00000133216	chr1	23037457	0.00182827952717737
16	ENSG00000133216	chr1	23037457	0.00182827952717737
17	ENSG00000133216	chr1	23037462	0.00182827952717737
18	ENSG00000117632	chr1	26210671	1.33253597078313e-05
19	ENSG00000117632	chr1	26211930	1.33253597078313e-05
20	ENSG00000142949	chr1	43996546	0.132414137184011
21	ENSG00000142949	chr1	43996560	0.132414137184011
22	ENSG00000142949	chr1	43996573	0.132414137184011
23	ENSG00000142949	chr1	44003868	0.132414137184011
24	ENSG00000142949	chr1	44010700	0.132414137184011
25	ENSG00000142949	chr1	44010746	0.132414137184011
26	ENSG00000162607	chr1	62901974	0.0239609922243498
27	ENSG00000162607	chr1	62902325	0.0239609922243498
28	ENSG00000116678	chr1	65886247	3.67072058200884e-12
29	ENSG00000116678	chr1	65886334	3.67072058200884e-12
30	ENSG00000116678	chr1	65886334	3.67072058200884e-12
31	ENSG00000116678	chr1	65886334	3.67072058200884e-12
32	ENSG00000116678	chr1	65886402	3.67072058200884e-12
33	ENSG00000116678	chr1	65991371	3.67072058200884e-12
34	ENSG00000116678	chr1	66031228	3.67072058200884e-12
35	ENSG00000153904	chr1	85784163	0.00519369433995739
36	ENSG00000153904	chr1	85784167	0.00519369433995739
37	ENSG00000153904	chr1	85953981	0.00519369433995739
38	ENSG00000153904	chr1	85960891	0.00519369433995739
39	ENSG00000153904	chr1	85961113	0.00519369433995739
40	ENSG00000153904	chr1	85961421	0.00519369433995739
41	ENSG00000023909	chr1	94350760	0.52799787515376
42	ENSG00000023909	chr1	94360199	0.52799787515376
43	ENSG00000023909	chr1	94369821	0.52799787515376
44	ENSG00000177301	chr1	111136201	3.1575310536621e-08
45	ENSG00000177301	chr1	111144632	3.1575310536621e-08
46	ENSG00000134250	chr1	120454175	0.0911721727521816
47	ENSG00000134250	chr1	120492742	0.0911721727521816
48	ENSG00000134250	chr1	120535403	0.0911721727521816
49	ENSG00000143549	chr1	154127783	0.00115031835833413
50	ENSG00000143549	chr1	154128832	0.00115031835833413
51	ENSG00000143549	chr1	154128834	0.00115031835833413
52	ENSG00000143549	chr1	154128839	0.00115031835833413
53	ENSG00000143549	chr1	154128839	0.00115031835833413
54	ENSG00000143549	chr1	154128841	0.00115031835833413
55	ENSG00000143549	chr1	154129169	0.00115031835833413
56	ENSG00000143549	chr1	154129587	0.00115031835833413
57	ENSG00000143549	chr1	154129793	0.00115031835833413
58	ENSG00000143549	chr1	154130001	0.00115031835833413
59	ENSG00000143549	chr1	154130007	0.00115031835833413
60	ENSG00000143549	chr1	154130058	0.00115031835833413
61	ENSG00000143549	chr1	154131084	0.00115031835833413
62	ENSG00000143549	chr1	154131145	0.00115031835833413
63	ENSG00000143549	chr1	154139940	0.00115031835833413
64	ENSG00000143226	chr1	161475219	0.0314701843078143
65	ENSG00000143226	chr1	161475219	0.0314701843078143
66	ENSG00000143226	chr1	161475246	0.0314701843078143
67	ENSG00000143226	chr1	161476122	0.0314701843078143
68	ENSG00000143226	chr1	161476440	0.0314701843078143
69	ENSG00000057252	chr1	179262924	0.927569216227382
70	ENSG00000057252	chr1	179262931	0.927569216227382
71	ENSG00000057252	chr1	179262931	0.927569216227382
72	ENSG00000057252	chr1	179262936	0.927569216227382
73	ENSG00000057252	chr1	179263454	0.927569216227382
74	ENSG00000198216	chr1	181382237	0.8922531563352
75	ENSG00000073756	chr1	186640922	0.000234650333664475
76	ENSG00000073756	chr1	186642024	0.000234650333664475
77	ENSG00000073756	chr1	186643484	0.000234650333664475
78	ENSG00000151414	chr1	198126092	2.34282210823606e-06
79	ENSG00000151414	chr1	198126123	2.34282210823606e-06
80	ENSG00000151414	chr1	198126127	2.34282210823606e-06
81	ENSG00000151414	chr1	198126250	2.34282210823606e-06
82	ENSG00000151414	chr1	198176003	2.34282210823606e-06
83	ENSG00000151414	chr1	198177667	2.34282210823606e-06
84	ENSG00000196482	chr1	216676587	6.54497093919725e-08
85	ENSG00000196482	chr1	216676594	6.54497093919725e-08
86	ENSG00000196482	chr1	216676595	6.54497093919725e-08
87	ENSG00000196482	chr1	216676595	6.54497093919725e-08
88	ENSG00000196482	chr1	216676595	6.54497093919725e-08
89	ENSG00000196482	chr1	216678795	6.54497093919725e-08
90	ENSG00000196482	chr1	216678831	6.54497093919725e-08
91	ENSG00000196482	chr1	216680129	6.54497093919725e-08
92	ENSG00000196482	chr1	216741329	6.54497093919725e-08
93	ENSG00000196482	chr1	217028383	6.54497093919725e-08
94	ENSG00000196482	chr1	217035571	6.54497093919725e-08
95	ENSG00000196482	chr1	217038402	6.54497093919725e-08
96	ENSG00000196482	chr1	217038458	6.54497093919725e-08
97	ENSG00000136628	chr1	220141942	1.08184033868066e-05
98	ENSG00000136628	chr1	220160637	1.08184033868066e-05
99	ENSG00000136628	chr1	220174542	1.08184033868066e-05
100	ENSG00000116984	chr1	236958609	0.056766220374804
101	ENSG00000116984	chr1	236958611	0.056766220374804
102	ENSG00000116984	chr1	236958914	0.056766220374804
103	ENSG00000116984	chr1	236958981	0.056766220374804
104	ENSG00000248333	chr1	1570602	0.302292422703138
105	ENSG00000248333	chr1	1571099	0.302292422703138
